Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
1	35341.477	3771.99	39229.188	30174.924	37506.125	58.325836	37601.86	37433.285	1000.0	1000.0	3999	10.839246	10.83922	-10.359806	0.18768793	0.34678802	1.2140685	173.0937373638153
2	34610.707	2586.5657	37453.17	30612.223	57025.71	2445.75	62053.816	54022.445	1000.0	1000.0	7999	34.538673	34.53835	-33.983276	0.84740025	0.39846072	1.2568387	403.9888732433319
3	47672.773	13625.97	62244.36	33476.547	71960.45	5824.1875	80808.66	63857.016	1000.0	1000.0	11999	61.929577	61.929455	-61.506565	3.2998831	0.6513397	1.456764	641.3108501434326
4	63033.47	4146.6226	70091.56	59847.953	71566.11	6009.5063	83553.36	63195.137	1000.0	1000.0	15999	91.01094	91.01095	-90.642624	10.5349045	0.7846377	1.4699193	879.9615545272827
5	76478.08	13684.946	99520.91	63954.25	79943.664	6042.9307	91891.62	72240.89	1000.0	1000.0	19999	127.78189	127.78194	-127.526665	23.980118	1.230598	1.5218769	1122.248904466629
6	72964.8	7553.2993	80819.26	61508.254	69992.44	11765.6	100272.664	58618.418	1000.0	1000.0	23999	173.28758	173.28703	-172.92819	27.925568	1.4773206	1.2568243	1362.3427295684814
7	76000.414	7956.1987	86915.3	64498.316	82173.99	10272.976	102011.42	70627.33	1000.0	1000.0	27999	209.93214	209.9315	-209.27483	37.043503	1.4971577	1.396503	1601.470148563385
8	80079.625	17815.523	110001.45	65654.93	93834.836	22029.17	128732.29	62148.01	1000.0	1000.0	31999	237.85445	237.8535	-237.02454	40.030773	1.5088477	1.1906818	1841.3833539485931
9	78066.44	6988.3643	89379.984	70397.31	85175.08	12137.131	102886.79	69338.17	1000.0	1000.0	35999	259.26047	259.2611	-258.19696	52.359688	1.5123472	1.2826389	2078.6611618995667
10	75590.766	6157.165	81552.91	65300.38	84335.42	11544.144	101707.555	61781.28	1000.0	1000.0	39999	277.4861	277.48526	-276.2703	63.396717	1.5360788	1.4147123	2316.541066646576
11	95868.64	12760.023	109158.19	75509.26	87462.91	16482.602	115805.234	64508.586	1000.0	1000.0	43999	301.1548	301.15485	-299.84656	79.03909	1.707722	1.473949	2553.76828455925
12	85289.86	21327.916	121397.59	67884.85	84472.95	10974.904	104467.38	70223.484	1000.0	1000.0	47999	328.3305	328.32996	-327.08026	91.86175	2.0082734	1.4800855	2788.8672387599945
13	103243.95	8522.617	112032.63	90805.984	90994.74	7428.9053	102666.555	79842.51	1000.0	1000.0	51999	358.2633	358.2632	-356.87805	104.15525	2.1649702	1.3503137	3025.5155556201935
14	77073.734	2900.3599	81840.34	74217.46	103898.375	8298.532	121984.586	95342.234	1000.0	1000.0	55999	374.5788	374.5804	-372.86688	107.663025	2.1838524	1.2809824	3262.383444070816
15	92687.484	5825.0083	99522.37	83678.3	84139.42	5039.266	92524.95	74231.164	1000.0	1000.0	59999	383.905	383.90604	-382.03537	121.90227	2.1931236	1.3329833	3497.0096492767334
16	93737.97	20128.64	126275.914	71114.2	107716.984	12512.778	132034.84	91736.99	1000.0	1000.0	63999	395.45413	395.4546	-393.45654	128.19556	2.2193544	1.3595129	3730.31915640831
17	83749.14	11271.123	95389.87	67130.74	96182.484	19020.51	127784.805	73760.555	1000.0	1000.0	67999	404.9443	404.94543	-402.82373	129.45401	2.2406757	1.3780872	3965.2030415534973
