Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
1	32747.34	1191.7981	34665.91	31466.967	84125.42	84.09002	84199.49	83892.81	1000.0	1000.0	3999	14.03284	9.761636	46.689533	-0.6816241	14.032178	9.762206	46.84447	-0.7800483	-14.942544	0.35854426	5.7806334	0.33786204	5.8550577	0.33403575	2.059408	1.2980771	4.4263816	2.0958002e-07	97.02039408683777	0.0
2	32551.463	324.95395	33104.973	32304.58	88186.234	5600.2007	99465.13	84691.1	1000.0	1000.0	7999	72.243286	31.66816	205.16937	9.267722	72.24371	31.667835	205.22159	9.258415	-75.888176	2.5733101	5.807367	0.011557226	5.8476243	5.762725	7.537481	1.9487767	11.69523	3.9704907	220.59154963493347	0.0
3	54410.375	19782.615	74740.195	34401.51	46559.46	7088.2163	57728.418	38013.75	1000.0	1000.0	11999	184.93166	58.117336	402.15485	57.19455	184.93153	58.11777	400.85062	57.500935	-192.15948	10.527883	5.7901664	0.013268906	5.8357687	5.7390695	15.093366	1.9233861	19.229177	10.317157	345.34059834480286	0.0
4	57783.395	10560.359	69829.68	40928.844	67366.695	11628.76	86740.516	48322.605	1000.0	1000.0	15999	283.2237	92.10144	582.508	125.5337	283.2238	92.102295	585.9156	125.64422	-289.68222	22.294613	5.780329	0.014218238	5.828596	5.721517	16.959808	1.8401089	21.363787	12.713781	473.61372089385986	0.0
5	56405.59	4957.4253	62278.707	50249.14	59345.05	14015.886	93915.35	46756.45	1000.0	1000.0	19999	363.1926	130.16563	660.7491	109.47377	363.19257	130.16666	661.43146	115.756294	-368.74994	37.864975	5.7670984	0.013949558	5.8141255	5.714039	17.737738	0.7687446	20.580889	15.515368	602.3626937866211	0.0
6	62902.637	9866.162	76157.92	53393.812	56739.176	7797.3213	68282.45	45658.812	1000.0	1000.0	23999	411.0941	152.89188	764.3753	89.29085	411.09412	152.8927	763.186	98.2433	-415.65723	52.98668	5.756633	0.01478453	5.810163	5.696042	17.589724	0.5503612	19.715189	15.721675	731.9310877323151	0.0
7	68142.836	12134.299	87445.38	53997.555	67136.31	13174.466	83479.6	48213.504	1000.0	1000.0	27999	442.45605	165.39984	790.92816	140.30673	442.4561	165.4019	790.9307	143.48235	-446.01175	59.516342	5.7509103	0.017538397	5.8051443	5.6868334	15.653418	1.0145617	18.684593	13.512614	861.0807240009308	0.0
8	64406.4	7216.0464	71113.01	52511.008	69348.79	12317.279	83661.125	50200.438	1000.0	1000.0	31999	453.4764	165.41144	795.4831	58.177845	453.4762	165.41412	794.2727	64.72587	-455.94775	59.2136	5.7347565	0.015875489	5.7873383	5.672296	14.076793	0.5795745	16.380041	12.247037	1001.3848354816437	0.0
9	78780.47	6101.886	84795.37	69474.3	64061.15	3391.6702	68192.34	55981.684	1000.0	1000.0	35999	451.59335	157.56956	791.22186	104.0629	451.59305	157.57263	792.2008	124.86535	-453.71576	55.184727	5.7308216	0.01617814	5.7903414	5.6728005	13.243385	0.60253286	15.383745	11.659238	1185.1048061847687	0.0
10	66393.164	12387.238	80826.6	47235.4	58207.4	15852.914	75678.68	29038.477	1000.0	1000.0	39999	454.95	144.38739	784.8177	168.35939	454.94925	144.38943	783.19824	176.2762	-456.97653	51.930992	5.7322283	0.015945217	5.788343	5.6763277	12.920422	0.5200703	15.025807	11.162189	1382.0133259296417	0.0
11	81891.836	19594.383	109470.77	59806.543	81231.875	19849.17	108058.41	41633.914	1000.0	1000.0	43999	463.09787	128.04813	844.6666	187.845	463.09824	128.04907	845.96796	188.77298	-464.958	50.22592	5.724802	0.016557567	5.791011	5.6654587	13.549339	0.5771	15.704176	11.529102	1581.3875675201416	0.0
12	81890.5	31146.965	117990.64	45586.79	69596.766	16603.72	93403.25	48640.15	1000.0	1000.0	47999	468.5877	117.607635	918.1331	202.16898	468.588	117.60649	923.1329	206.24478	-470.31943	47.083218	5.7180595	0.01632213	5.7726207	5.659287	14.269526	0.5846756	16.727037	12.469039	1781.3871145248413	0.0
