Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	33485.4	1221.8514	35413.848	32093.549	120723.83	214.62103	121178.31	120296.14	1000.0	1000.0	3999	13.29594	8.630688	45.522038	-2.5385903e-06	13.295758	8.630784	45.389088	-1.19782e-06	-14.083112	0.31556588	5.797397	0.32719153	5.8641973	0.32168213	1.6564345	0.92443126	3.593032	1.707356e-07	95.49934840202332
2	34597.875	2053.159	37227.047	31475.576	104058.11	15863.662	109531.08	56478.883	1000.0	1000.0	7999	63.681236	23.204416	153.11354	14.580623	63.681244	23.204393	152.39767	15.068016	-66.51931	1.875032	5.8068666	0.012209614	5.846995	5.7612696	5.505958	1.545459	9.4201	3.2580485	216.42282390594482
3	65858.95	26676.762	107539.3	40595.992	102627.55	7521.3174	110014.06	90537.85	1000.0	1000.0	11999	155.59398	37.56136	323.62955	72.99045	155.59402	37.5607	322.96478	73.14775	-161.17152	7.6752563	5.801177	0.013448184	5.839604	5.7435694	11.746424	2.020606	16.147858	7.7777615	338.6687936782837
4	75943.73	25429.242	103464.15	40988.074	46404.438	3336.7773	52351.99	41936.75	1000.0	1000.0	15999	244.06177	68.17789	479.27942	81.51282	244.06198	68.1768	479.01382	81.08471	-249.2565	17.200207	5.7725368	0.01606291	5.8274684	5.71229	14.022656	1.2499009	17.14409	10.968244	463.26186513900757
5	54550.93	6273.1924	62457.23	44933.85	61692.98	5797.298	68487.22	50410.32	1000.0	1000.0	19999	307.7078	83.851074	561.444	107.33861	307.70746	83.8503	561.6516	107.30979	-311.7337	23.612354	5.7676983	0.015878677	5.8188996	5.711377	13.266885	0.46865955	14.972125	11.538452	587.5741364955902
6	60448.508	6432.389	65589.43	49483.848	67638.82	10568.471	82439.414	50297.91	1000.0	1000.0	23999	361.65845	90.75538	602.66675	162.55093	361.6583	90.75547	604.7814	162.167	-365.24213	36.49668	5.7481112	0.01667765	5.8081937	5.686362	12.552384	0.6685544	14.319516	10.842924	712.011337518692
7	77434.35	13465.78	100097.68	65116.227	69317.89	8360.594	78502.19	50871.797	1000.0	1000.0	27999	394.85977	92.08659	635.4885	112.62417	394.85956	92.084335	634.81506	101.34917	-398.11774	41.213043	5.7393026	0.015312167	5.787932	5.674649	12.2656145	0.4308337	13.751643	11.018001	836.4843790531158
8	71493.29	14523.009	96231.586	59245.035	87938.766	20195.082	115698.52	54486.914	1000.0	1000.0	31999	422.92804	97.35998	689.28253	156.19066	422.92877	97.35728	689.3777	152.79958	-425.95584	43.289448	5.7323947	0.015480944	5.789984	5.6754866	12.944776	0.5250237	14.785749	11.385229	973.9278290271759
9	75660.836	3257.12	80782.984	71809.836	74110.625	11255.884	94852.32	54057.258	1000.0	1000.0	35999	444.8435	102.14571	721.52155	187.17856	444.84286	102.144775	722.98315	188.50726	-447.43515	49.13815	5.728157	0.015741229	5.7873454	5.6720004	13.122705	0.45078164	15.037759	11.715799	1114.5962414741516
10	75542.13	13221.142	96165.56	59747.094	71001.58	13201.558	105099.49	54758.945	1000.0	1000.0	39999	456.18304	102.74029	725.20325	197.02937	456.18423	102.734566	725.32916	200.04393	-458.21457	53.21668	5.7155175	0.016251232	5.76731	5.6596165	13.374659	0.54198474	15.693508	11.579374	1298.7473645210266
