Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	33933.664	2038.9309	35436.46	30444.906	33494.133	23.237421	33526.34	33454.09	1000.0	1000.0	3999	10.010844	5.752208	31.307968	-4.4036193e-07	10.010886	5.7522035	31.48053	-1.0133931e-06	-9.611899	0.18602331	0.3441543	0.008105289	0.37295738	0.32045835	1.1910824	0.636909	2.362436	2.013732e-07	148.59315538406372
2	35288.344	3355.004	40690.17	32026.201	38629.062	160.08038	38844.39	38424.336	1000.0	1000.0	7999	32.845226	9.322478	74.29246	10.6410475	32.845333	9.322297	73.48649	10.551039	-32.44246	0.5960297	0.39247784	0.02913843	0.47259572	0.3413208	3.4496386	0.7194621	4.9083605	2.2023811	338.9561061859131
3	58883.57	25762.8	86835.234	32309.408	95219.39	351.59015	95814.34	94560.53	1000.0	1000.0	11999	59.648876	11.324316	107.80801	30.517584	59.64886	11.324795	107.86752	30.428411	-59.239407	1.1294351	0.5370991	0.043039095	0.6514287	0.43498597	5.3853974	0.30078712	6.109546	4.5391364	532.4773633480072
4	77127.37	19462.482	105806.336	51800.88	86772.87	9244.719	96809.516	71768.03	1000.0	1000.0	15999	88.20277	22.274517	190.78938	29.2364	88.20275	22.275152	191.039	29.785328	-87.637794	5.1521416	1.1411641	0.3611288	2.0301037	0.5299694	6.1602616	0.37645632	7.4551144	5.107155	722.8924376964569
5	64670.32	3351.8857	68243.08	60633.92	84774.42	16791.69	117539.07	65419.707	1000.0	1000.0	19999	130.9029	46.72563	294.54016	33.33056	130.90279	46.72587	295.48813	32.410507	-130.79169	12.054696	2.146166	0.39793947	2.9247818	1.17955	7.899513	0.83463234	10.040189	5.6549973	913.0721929073334
6	72750.02	11099.068	91925.41	65206.66	71459.15	9685.483	91028.516	56189.47	1000.0	1000.0	23999	187.45642	71.97184	364.7237	46.165993	187.45616	71.972664	366.5729	45.892815	-187.35458	21.472261	2.3329253	0.24470998	3.021417	1.5876876	9.338971	0.43446216	10.896528	7.885233	1101.649251461029
7	72666.89	10174.095	85817.48	57921.7	78188.99	9088.363	90929.0	61323.934	1000.0	1000.0	27999	229.0662	75.40412	421.72427	53.496952	229.06578	75.405594	418.48752	52.814926	-228.38147	28.367102	1.9878252	0.18581097	2.5327182	1.5111976	8.994295	0.3917123	10.588314	7.7638345	1289.1790373325348
8	82467.445	8504.32	94293.25	72682.18	104952.27	18765.56	127243.8	65578.35	1000.0	1000.0	31999	255.34456	82.26222	456.1351	56.393387	255.34384	82.264755	455.1977	56.3306	-254.50061	36.58915	2.1569462	0.22847493	2.9795086	1.5791061	9.694972	0.51394403	11.488993	8.209904	1481.8225054740906
9	99248.19	10650.88	112500.36	88479.89	96681.125	15155.332	118784.77	71496.47	1000.0	1000.0	35999	282.3435	85.4249	473.82574	93.28236	282.34235	85.42771	481.0959	94.219795	-281.3514	40.54471	2.112585	0.123443425	2.5602205	1.7652512	10.098648	0.33145314	11.367454	8.824734	1670.9108827114105
10	95676.22	18595.95	124354.68	72736.25	103829.56	9635.524	119310.664	89003.67	1000.0	1000.0	39999	305.51968	85.41792	487.9297	106.41992	305.51965	85.42046	488.1635	110.460175	-304.3459	40.40575	1.9135977	0.16167694	2.457525	1.4816098	10.079444	0.40636566	11.626962	8.629237	1860.680284023285
11	111839.29	9312.487	127102.56	103006.39	114318.6	18956.912	137359.1	91750.12	1000.0	1000.0	43999	324.59863	83.70012	495.51904	136.59392	324.59802	83.70236	498.90262	133.50378	-323.28525	41.317875	1.9983965	0.19215079	2.5363343	1.4820848	10.298795	0.4046027	11.692557	9.004691	2055.141977071762
12	98015.86	17867.053	117503.92	69196.95	116546.016	9148.632	135021.45	105959.914	1000.0	1000.0	47999	343.48865	84.61482	520.70013	153.36032	343.48767	84.619484	521.7274	151.77618	-342.0675	43.40307	2.203526	0.16960953	2.7605038	1.7048029	10.715039	0.39767942	11.966736	9.342095	2249.6980590820312
13	116511.164	28609.36	134188.94	66994.85	126586.164	8886.015	139285.23	111610.14	1000.0	1000.0	51999	360.14377	88.69485	534.05835	123.33487	360.14288	88.70062	532.7553	119.96009	-358.58435	45.775784	2.2486415	0.14545618	2.6895738	1.7820004	10.855106	0.40230724	12.385502	9.497392	2442.802337884903
14	127625.78	8725.915	133840.45	112565.27	117035.836	18436.51	139671.84	83301.15	1000.0	1000.0	55999	377.97183	88.01478	544.2363	135.67647	377.9706	88.01967	548.13605	132.37462	-376.3103	44.479065	2.1374638	0.13257027	2.679259	1.6975791	10.579274	0.35958615	12.0972185	9.373253	2632.14594745636
15	126204.24	12576.114	135888.5	104664.484	129523.31	10624.723	134999.66	98158.16	1000.0	1000.0	59999	392.5986	87.977196	550.9116	129.99011	392.59775	87.981575	549.5819	128.34068	-390.91373	45.300854	2.1413434	0.13086872	2.5494432	1.744285	10.76493	0.39421108	12.036317	9.342764	2822.067907333374
16	129332.734	3867.181	134955.52	125157.48	121245.164	19391.295	136259.42	79460.27	1000.0	1000.0	63999	406.2555	86.88369	579.13116	131.33601	406.2555	86.88617	577.81665	129.79692	-404.5112	44.97395	1.9750714	0.14895976	2.4983842	1.584785	10.736875	0.38148665	12.073706	9.5124655	3013.767136335373
17	131688.28	7116.424	137273.77	119587.734	116561.17	18214.62	142691.69	90802.93	1000.0	1000.0	67999	418.78793	85.81654	594.0098	129.2931	418.78647	85.822136	592.10144	127.53823	-417.07922	44.806343	2.0425172	0.11531589	2.4335835	1.6715156	11.102821	0.3728679	12.444692	9.586828	3206.2158274650574
18	136783.44	1979.0973	138999.9	134204.05	104138.14	18155.043	134182.28	83195.23	1000.0	1000.0	71999	432.47797	84.31179	596.72314	140.68709	432.47736	84.31559	597.2651	140.40625	-430.74814	44.012257	2.0491436	0.112701185	2.3916132	1.7176199	11.222363	0.36658746	12.976559	10.062714	3399.189574241638
19	131504.78	11058.53	139900.12	112485.055	101972.484	18987.967	129906.73	69672.94	1000.0	1000.0	75999	446.2047	83.37655	608.2994	152.9793	446.2046	83.38047	603.812	155.25551	-444.50687	43.468204	2.1095529	0.109130934	2.4911795	1.734407	11.412943	0.35015288	12.864371	10.310474	3591.6902606487274
20	93485.91	14529.268	115859.11	76456.73	122909.81	12985.201	138916.27	108172.96	1000.0	1000.0	79999	457.47104	88.1301	610.34515	154.47353	457.47052	88.13648	611.9818	159.36023	-455.69012	46.392742	2.1012852	0.116095036	2.4761643	1.7241437	11.603779	0.40135795	13.061155	10.39677	3784.3841381073
21	113437.29	20133.688	140895.52	84348.586	140052.58	3565.534	148098.38	134889.31	1000.0	1000.0	83999	464.64893	94.148224	613.56757	142.79839	464.64816	94.15103	610.6618	144.22656	-462.79758	49.507263	1.9889578	0.12913209	2.3832264	1.5386237	11.400539	0.36375797	12.703	10.201198	3976.411925315857
22	132651.6	8064.9106	139282.89	119201.41	132432.0	14881.0625	150279.27	103644.41	1000.0	1000.0	87999	469.23425	98.9889	622.0407	141.73416	469.23395	98.9915	623.43243	144.41887	-467.3586	49.384064	1.9471626	0.12146736	2.3646014	1.6203512	11.412602	0.3693982	12.733259	10.261654	4171.4878516197205
23	132482.92	7881.1797	140889.98	121450.055	139713.45	3869.2056	143013.92	129441.75	1000.0	1000.0	91999	476.0528	101.84154	625.3504	133.27252	476.0523	101.844246	628.09674	137.94237	-474.14343	48.862885	2.0099466	0.12227295	2.406304	1.5524493	11.494102	0.3742691	12.847268	10.310412	4364.10151219368
24	137698.4	536.3888	138549.98	137102.97	141571.8	6415.4434	145159.92	122667.71	1000.0	1000.0	95999	483.00952	101.668945	609.94257	133.66385	483.0084	101.6718	610.2419	138.61218	-481.05304	47.367672	1.9957085	0.11185988	2.367322	1.624649	11.532565	0.35177934	12.681608	10.345779	4556.354119777679
25	138774.83	2454.0547	141682.98	134887.77	146547.25	1841.8938	149051.14	142457.97	1000.0	1000.0	99999	489.90405	101.56784	618.69275	135.23024	489.9046	101.57184	614.1742	138.06186	-487.92847	46.53321	2.035706	0.12182809	2.4906733	1.6255187	11.622948	0.35133398	12.821926	10.2960415	4747.330482006073
26	136065.77	7452.6167	141577.25	123379.195	143036.05	1903.4337	145334.83	138651.45	1000.0	1000.0	103999	497.02753	101.43508	627.8099	139.50505	497.02655	101.43792	629.69525	139.50708	-495.05283	46.730965	2.0859308	0.12422994	2.632969	1.782328	11.772838	0.35704958	13.1477165	10.654925	4938.832426309586
27	139434.25	3074.68	144549.14	136820.4	145980.89	2539.6616	148947.12	139771.3	1000.0	1000.0	107999	502.7478	100.8692	641.3767	146.84843	502.74716	100.8746	639.33264	150.82634	-500.7413	46.613594	1.9585183	0.10308134	2.2886667	1.6234852	11.814754	0.3599889	13.12231	10.518534	5128.786292791367
28	126571.84	18934.436	146177.27	98282.56	132097.3	19707.246	147626.53	86777.19	1000.0	1000.0	111999	508.29852	101.42069	650.13196	156.02733	508.29727	101.424736	653.8972	155.2325	-506.28152	45.298985	2.0610123	0.10073948	2.4693093	1.707295	12.017405	0.36606616	13.687783	10.820813	5319.048337221146
29	145337.66	1667.544	147922.44	143411.12	145713.28	3739.259	149590.62	135383.45	1000.0	1000.0	115999	513.6772	100.77731	660.0264	159.50113	513.677	100.78318	661.23944	161.02898	-511.657	45.90819	2.036626	0.124158174	2.4601948	1.6613449	12.085846	0.38151225	13.479912	10.937674	5508.258190155029
30	143390.66	2396.3564	146235.33	139593.06	137209.06	21160.23	149951.25	87101.59	1000.0	1000.0	119999	520.44183	99.513176	689.3935	170.53757	520.441	99.518074	688.723	171.71562	-518.41455	44.85192	2.0725367	0.096402936	2.368908	1.7523723	12.177993	0.35746104	13.390282	10.8769655	5697.001178264618
