Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	35239.08	2845.1465	38862.79	31323.496	33487.87	29.12616	33533.883	33442.24	1000.0	1000.0	3999	10.654374	6.5628285	39.924034	-0.0047083925	10.654848	6.5623803	40.045376	-0.00014157686	-10.163439	0.23205303	0.34363338	0.007851431	0.37252882	0.3192732	1.3544979	0.7494562	2.7374184	1.7499792e-07	110.97697949409485
2	32898.08	1433.0767	34977.22	31082.094	38306.883	28.147041	38344.477	38235.293	1000.0	1000.0	7999	34.771366	10.685337	91.45026	11.60175	34.771496	10.685149	91.75061	11.568523	-34.254433	0.69124085	0.37923333	0.018766817	0.4342915	0.33594742	3.7383716	0.6578286	5.1098485	2.5388358	254.75628113746643
3	44797.93	11007.026	59808.27	33531.266	78706.586	12062.412	103792.42	59569.57	1000.0	1000.0	11999	57.1109	11.920298	131.65706	25.067926	57.110535	11.921012	130.70323	25.99728	-56.63995	6.4781747	0.5755432	0.11715644	0.82394564	0.39495888	5.7345867	0.40153116	7.135228	4.7370677	393.3064818382263
4	74358.734	8356.2705	84560.55	65088.996	122757.36	377.1515	123407.76	122164.26	1000.0	1000.0	15999	85.56955	21.652424	227.85521	31.45341	85.56926	21.65372	227.97963	31.75763	-85.393654	19.124168	1.2990307	0.5504197	2.8628843	0.6440502	7.6464796	1.3206214	11.544571	5.400916	536.345990896225
5	77985.63	10321.995	91261.836	65281.918	69515.89	7035.0376	81580.29	60701.105	1000.0	1000.0	19999	150.9477	38.83312	288.39096	38.87833	150.94756	38.833977	287.57602	40.59329	-151.09502	23.484856	2.202563	0.5773705	3.1304262	0.9529929	10.163809	1.0079768	12.707107	7.4570293	684.6334028244019
6	75167.39	13286.865	98027.164	65193.97	80049.664	3622.2085	85025.055	73110.414	1000.0	1000.0	23999	189.94464	43.008213	346.50034	47.689182	189.94518	43.007133	348.71375	46.306915	-189.41039	32.67246	1.4822458	0.39300874	2.5355737	0.91038674	9.315622	0.98093015	12.336011	7.5135303	875.8552026748657
7	88597.92	8124.9277	101902.69	81564.86	84300.1	8889.945	104987.414	69811.945	1000.0	1000.0	27999	232.34859	56.31785	392.16904	58.634827	232.34938	56.3157	390.82083	58.623257	-231.72603	38.164005	2.0007756	0.38885757	2.819019	1.1253238	10.757267	0.6031379	12.806741	8.900471	1067.1821496486664
8	63865.516	1997.8217	65745.2	60905.234	73190.77	5207.1553	83107.91	67448.016	1000.0	1000.0	31999	256.84918	60.572094	424.0053	82.70339	256.84933	60.572006	424.4357	83.15736	-255.82335	39.41179	1.373185	0.18518123	1.9977787	1.0215628	10.024248	0.47236398	11.840432	8.800392	1257.538333415985
9	78076.27	8869.383	90931.01	68862.66	94737.8	9796.785	110855.91	75503.03	1000.0	1000.0	35999	273.26443	71.67816	456.13956	89.52878	273.2642	71.679535	455.4629	90.28205	-272.10425	43.99629	1.6111245	0.17171566	2.1421	1.1875064	10.850053	0.44720528	12.507703	9.337528	1440.2365572452545
10	88644.46	9928.324	104236.766	79999.94	80164.734	10976.54	98929.55	65079.656	1000.0	1000.0	39999	286.4322	78.075325	470.17505	99.28788	286.4326	78.07543	471.2328	99.300255	-285.11575	49.377857	1.4101453	0.11793294	1.8690223	1.0713758	10.873739	0.43413833	12.887029	9.342967	1581.7738585472107
