Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
1	35819.008	2725.1978	38592.363	33083.883	32895.836	36.222004	32949.05	32834.434	1000.0	1000.0	3999	11.496668	6.7570815	35.70937	-1.6236901e-06	11.496643	6.7570496	35.705757	-1.3253795e-06	-11.022471	0.26211792	0.3421058	0.0072471313	0.3693808	0.31811813	1.1799656	0.67776227	2.6253722	2.0243016e-07	112.40065360069275	1.2
2	34072.81	1153.3854	35936.906	32983.67	36325.79	36.881607	36386.793	36277.785	1000.0	1000.0	7999	34.483192	10.615799	77.482216	8.884604	34.482986	10.616428	77.98242	9.01283	-33.958813	0.7795745	0.36946416	0.012400213	0.4076748	0.33128506	3.4003701	0.51498526	4.397886	2.2411075	254.5319528579712	1.2
3	35677.516	1747.7577	37760.414	33753.555	36891.07	44.244705	36972.414	36810.156	1000.0	1000.0	11999	56.29604	13.910836	110.90716	18.746567	56.295895	13.911274	110.89023	19.050068	-55.716797	1.2334837	0.40575886	0.013147843	0.44160172	0.3645797	4.6717467	0.2954662	5.4453106	3.8614254	401.0637149810791	1.2
4	38773.562	1007.20233	40475.113	37847.848	39432.508	786.5045	40564.65	38528.1	1000.0	1000.0	15999	74.222725	18.832355	146.69342	37.090782	74.22233	18.832972	147.63849	37.1904	-73.58257	1.6035807	0.46430498	0.03294948	0.54433525	0.4023248	5.734788	0.45104954	6.6953735	4.5694866	552.9215748310089	1.2
5	75340.41	13284.204	93335.555	56882.848	73906.984	3708.2637	77880.22	63475.062	1000.0	1000.0	19999	92.51866	20.950342	186.56073	44.08733	92.51845	20.951078	186.55806	41.962986	-91.99038	12.267793	0.9651808	0.3863883	2.6444614	0.4931041	6.939311	0.7184725	9.485444	5.570045	698.2141797542572	1.2
6	77469.23	7118.1997	87402.52	67581.086	81478.72	10262.959	95580.05	56119.027	1000.0	1000.0	23999	148.2918	35.383476	268.19977	38.459824	148.29172	35.383766	268.98315	43.423134	-148.68733	17.867704	2.6092134	0.22416236	3.3276114	2.0304892	10.835549	0.8657328	13.450912	8.136513	880.5957083702087	1.2
7	76501.41	6491.7476	85618.984	68092.5	78780.234	3446.8596	84303.19	72283.96	1000.0	1000.0	27999	204.3553	44.820118	328.40814	43.269966	204.35455	44.822403	328.00024	44.58418	-203.8789	23.668402	1.7151374	0.41702652	2.660159	0.9962048	9.297555	0.6850097	11.779259	7.631429	1071.3264310359955	1.2
8	85335.35	5461.323	92841.71	77459.055	85566.39	5418.7427	96225.58	77025.46	1000.0	1000.0	31999	229.379	56.627445	383.6812	46.300735	229.37839	56.629417	384.36975	46.0591	-228.651	27.200953	1.7705197	0.3492764	2.578677	1.0062196	9.768013	0.6533009	11.749321	7.9394517	1260.137736082077	1.2
9	89014.53	13472.556	108810.1	72073.57	89574.12	15503.369	116318.664	66000.52	1000.0	1000.0	35999	260.06094	65.4789	420.7019	52.465836	260.06055	65.481384	426.5206	53.101887	-259.08575	35.299335	1.615168	0.291002	2.4223332	1.0642829	9.7591	0.47684783	11.384724	8.140476	1436.753770828247	1.2
10	85645.234	4635.4346	91390.65	79953.2	82984.37	15295.143	111695.266	60371.01	1000.0	1000.0	39999	283.99667	67.54359	472.90714	94.472824	283.99524	67.54866	473.00638	95.43128	-282.89963	41.012188	1.9815459	0.23288399	2.8421526	1.4219702	10.675705	0.5640623	13.086531	8.769064	1578.5741484165192	1.2
