Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
1	121.32894	35.269314	260.6098	78.01941	132.49773	45.73487	225.67657	76.09328	24.84472	27.5	3999	25.99703	25.996883	-25.161861	5.169581	0.4295227	0.12247879	0.8896286	0.3219814	1.932492	0.79497385	4.9629164	1.2	184.65116262435913
2	122.4349	37.501076	267.22876	77.81746	189.7446	47.60937	299.5359	124.37367	25.044025	40.1	7999	74.36134	74.36207	-73.50784	92.444305	0.96447366	0.25566196	1.6495445	0.47024703	4.6047535	0.36981195	5.6242857	3.9038305	428.5245144367218
3	157.99228	83.45709	463.84808	80.29335	302.87708	81.62327	491.8747	217.02	32.617886	63.3	11999	150.01459	150.01256	-151.9542	122.44989	1.7558563	0.24119876	2.3815563	1.1090156	4.8540587	0.6164497	5.7249284	3.5346432	673.0611877441406
4	287.5817	70.32171	495.52463	171.24144	300.61456	61.863533	420.15912	216.59839	60.060608	62.9	15999	195.63576	195.6338	-198.64688	84.13038	2.5514698	0.26266572	3.269859	1.8942031	2.644542	0.38683695	3.5602126	2.074605	915.7356753349304
5	271.8639	68.367065	446.04388	140.45326	296.28864	55.370674	423.14935	238.65497	57.25714	64.6	19999	225.44923	225.44708	-229.14517	95.640335	3.2971177	0.2160581	3.8741553	2.7256591	1.8794129	0.11926959	2.213827	1.6811386	1158.8881840705872
6	372.1012	97.803894	649.57355	208.87259	320.6302	48.82665	388.9631	254.99344	77.19231	69.3	23999	247.47968	247.47958	-251.11298	118.91243	3.6319628	0.111816026	4.020137	3.1928697	1.7193923	0.07414251	1.901846	1.564841	1402.8897001743317
7	331.02185	91.78044	711.11334	212.57153	362.2084	82.13689	513.5752	223.74669	69.8421	80.6	27999	251.37512	251.3781	-253.93568	150.95523	3.6683671	0.10967885	4.0170817	3.1979873	1.6437119	0.08785244	1.8868704	1.4971591	1646.6645307540894
8	367.6373	94.41852	600.76135	184.33871	320.3474	95.927666	525.30066	218.10725	81.083336	68.8	31999	249.63042	249.63304	-251.38678	182.56488	3.8094287	0.11358131	4.2246656	3.3514395	1.7572947	0.05711388	1.9330987	1.6294652	1889.3794586658478
9	377.76614	118.014404	791.55414	199.9521	358.6916	86.740295	496.05276	236.97533	79.73077	73.2	35999	249.85365	249.85583	-251.12016	182.63298	3.9297779	0.102091454	4.266972	3.4927692	1.7066244	0.06312284	1.8484075	1.553717	2131.5224092006683
10	397.04245	67.14412	584.0317	253.15167	441.39972	156.94373	843.19305	284.0808	79.26	90.6	39999	246.49307	246.49258	-247.27638	171.43153	3.9485385	0.09785418	4.246814	3.5805464	1.6046004	0.04929465	1.7136196	1.4805629	2375.1457209587097
11	413.257	106.4566	680.7037	216.37209	384.8355	151.66292	736.4607	249.57921	85.87234	79.4	43999	238.82002	238.81998	-239.10312	159.34593	3.950654	0.095557705	4.2618113	3.5966132	1.5076739	0.05369705	1.6640202	1.3608963	2618.147536754608
12	409.82327	121.25763	708.83356	185.8858	318.7535	83.35653	487.1009	179.94128	86.17391	70.9	47999	231.16756	231.16646	-231.12852	147.87982	3.9453342	0.09691212	4.2903795	3.5234532	1.3862637	0.08261999	1.610027	1.2209032	2860.461144208908
13	415.64185	129.16158	744.344	243.18884	482.98065	135.47015	691.23517	219.20056	88.73333	99.1	51999	225.21608	225.21477	-224.9493	136.5566	3.9522085	0.094786234	4.298618	3.572895	1.3479342	0.055964287	1.5148836	1.2242303	3103.4101634025574
14	421.29333	120.80011	715.82306	210.56813	406.333	103.49377	576.1664	271.26804	92.65116	91.4	55999	219.40533	219.40164	-218.879	128.77017	3.9471114	0.10031451	4.3181825	3.5955997	1.2747265	0.061368868	1.4535614	1.1296492	3346.920700788498
15	456.03522	126.173	891.2846	227.20552	634.9472	242.41539	1290.1803	395.07925	94.35714	123.3	59999	213.54665	213.54678	-212.9783	123.096016	3.9457095	0.08996818	4.2984977	3.6330702	1.1499522	0.07343208	1.2817624	1.0018797	3589.016239643097
16	560.7121	141.08507	1009.2449	346.43118	576.25385	156.67374	885.57715	369.1354	111.52778	113.5	63999	210.22934	210.22762	-209.45154	113.194855	3.952993	0.09094817	4.263103	3.6331863	1.1312908	0.042898312	1.2213135	1.0541538	3832.7486474514008
17	508.78516	165.99147	1000.69354	169.5467	532.2522	178.14545	897.1733	259.58636	102.82051	110.3	67999	209.08685	209.0866	-208.19116	109.89054	3.9470084	0.08851384	4.2350545	3.6260605	1.0868002	0.04685756	1.2204736	1.0159063	4076.250078678131
18	569.2119	159.39024	1018.98395	272.2637	579.8077	112.167786	810.6913	420.89267	118.64706	120.2	71999	208.7967	208.79533	-207.69794	106.400604	3.9507227	0.091092065	4.2471595	3.6095636	1.0897737	0.04256228	1.1854179	1.0105894	4320.136016130447
