Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
1	118.09337	37.777813	305.0449	78.074486	110.59236	41.825436	208.59633	77.35853	24.212122	22.6	3999	26.132088	26.131453	-25.328087	7.150394	0.4254043	0.121408686	0.90359634	0.32495916	1.8423704	0.6802141	4.584619	1.2	151.83998203277588
2	121.52289	35.250374	256.63507	82.344185	288.6822	78.48268	400.06277	136.22742	24.826086	59.9	7999	72.88847	72.88718	-72.02505	162.20581	0.96795243	0.25318003	1.6792151	0.49766952	4.719844	0.53031754	5.5663633	3.8564782	396.20531845092773
3	149.22461	69.58598	391.25494	77.975945	245.01509	74.38015	408.20572	176.09148	30.446154	49.7	11999	149.70045	149.70177	-151.64801	298.57834	1.7510127	0.25064814	2.4508512	1.0941737	5.0670414	0.76496536	6.2155986	3.5583603	640.7902507781982
4	253.45105	64.71603	503.19534	145.90704	314.27716	82.78389	495.862	220.65396	52.907894	68.6	15999	190.6288	190.63008	-192.96942	106.2258	2.5548232	0.25531867	3.1454883	1.8533828	3.084711	0.3193613	3.6474795	2.498481	885.7105646133423
5	287.6952	77.99721	532.65796	165.69133	351.7135	33.848763	435.5909	312.5749	60.60606	74.3	19999	227.80263	227.8042	-231.51039	107.28199	3.3187442	0.22247493	3.9262612	2.6806717	2.0691402	0.27657	2.671916	1.6651024	1129.9707787036896
6	346.2687	114.20311	763.3941	154.81055	420.09482	186.3526	903.9027	279.6989	73.181816	79.7	23999	246.19724	246.1982	-249.52174	122.62652	3.69437	0.13284557	4.1901674	3.248634	1.7717886	0.050543573	1.8977957	1.6455977	1372.1167695522308
7	353.9461	95.98679	563.0406	216.70929	391.32553	130.25887	743.30023	269.28293	75.98077	83.1	27999	256.49088	256.49323	-259.46	133.97968	3.907706	0.10849276	4.281255	3.5051188	1.7459795	0.061161485	1.9001993	1.5961677	1615.8293390274048
8	403.3865	108.00761	708.36505	233.78133	407.65594	72.508095	523.2079	318.5802	82.083336	81.4	31999	260.41602	260.4153	-263.16217	148.69112	3.9918127	0.09122179	4.2785068	3.67486	1.7208258	0.062082954	1.8575008	1.5735419	1858.8166649341583
9	403.46948	137.25911	774.845	205.31949	438.92633	76.04387	550.10126	279.12808	82.1	88.7	35999	263.04367	263.0442	-265.65805	160.89635	4.0003076	0.09184869	4.3438163	3.6484883	1.6561235	0.06270587	1.7928034	1.4925625	2100.410276412964
10	405.9206	129.19937	732.45514	217.66367	344.02417	73.60901	514.1042	268.5154	86.86957	73.4	39999	260.9691	260.97058	-262.93054	169.95969	3.9974697	0.09140898	4.2970467	3.6474063	1.5868335	0.064725935	1.7650243	1.4808156	2342.273347377777
