Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	118.34551	31.992023	216.45456	78.051414	261.29675	36.491676	325.73755	203.47661	24.242424	54.1	3999	36.79004	26.468258	130.47455	-28.98002	36.789616	26.469685	129.2606	-28.679085	-40.145477	6.3243313	5.763405	0.33532244	5.8693094	0.33381158	6.001636	4.46092	18.29281	2.0536619e-07	171.83274745941162
2	119.69736	33.237164	267.0285	78.43486	80.920425	2.8928013	83.75689	75.5603	24.365854	17.7	7999	280.9048	212.97363	1002.5614	-119.006096	280.90384	212.97531	1006.833	-108.87412	-324.92685	155.95238	5.7760663	0.016045196	5.819254	5.711951	82.959465	52.289635	189.45906	15.105644	395.82516741752625
3	133.97307	49.110615	312.13724	70.99077	260.7455	4.6168237	265.4367	251.82698	27.618055	51.6	11999	1217.2804	704.3306	2883.1702	-461.65878	1217.284	704.3157	2890.3926	-469.3564	-1363.7244	2442.8682	5.7614217	0.024700753	5.8211575	5.671006	294.45926	59.236214	413.26688	163.39722	623.3885509967804
4	217.23541	51.37719	423.25122	117.689804	232.22812	42.954483	343.98886	197.56857	46.275864	48.6	15999	1766.3861	1070.1824	3707.2224	-957.15247	1766.3812	1070.1892	3723.2554	-1074.1139	-1890.5012	6047.934	5.708652	0.019807296	5.766456	5.6197505	296.77548	25.541533	390.69754	218.9474	846.1642520427704
5	254.45555	67.591606	526.588	152.04437	302.09808	39.795097	395.69397	241.93552	53.093334	64.2	19999	1590.1776	1206.2484	3583.0398	-490.84308	1590.1804	1206.2572	3570.1812	-499.38208	-1696.4395	7653.335	5.6904955	0.017740488	5.74769	5.6238103	286.81735	26.277552	381.67688	198.7679	1071.2916576862335
6	298.01035	93.82936	573.4145	144.10773	328.49078	77.54113	476.87482	200.83261	65.95	70.9	23999	1369.7561	1166.0059	3597.7942	-605.68616	1369.7745	1165.989	3629.7065	-626.9514	-1460.6603	8341.726	5.6888576	0.017876487	5.746861	5.6258407	269.4191	24.673615	368.9085	184.5019	1297.567652463913
7	375.0882	134.93585	966.9478	170.59816	349.46283	84.26333	518.23035	197.01204	81.08	76.8	27999	1092.78	993.5169	3293.3086	-284.88174	1092.8074	993.516	3359.9387	-281.6591	-1162.5894	7217.545	5.6809506	0.018395467	5.7408853	5.597029	228.62344	22.594677	315.72104	161.49763	1523.0224752426147
8	349.0477	113.86695	664.2088	183.07558	230.62622	66.45111	403.32516	183.41876	74.9434	53.5	31999	893.49194	822.52423	2772.3066	-254.03862	893.50867	822.5081	2830.3518	-228.65965	-947.8056	5842.7334	5.675738	0.01866555	5.7327204	5.606671	195.54944	19.504787	273.71487	140.55283	1748.7611465454102
9	302.44193	110.75269	662.1839	135.33264	390.63907	123.47563	585.1163	218.94514	66.4	89.4	35999	748.498	687.17523	2421.6028	-186.48763	748.4975	687.1595	2461.349	-208.536	-792.9985	4692.396	5.6731415	0.018764224	5.736031	5.590506	169.85847	14.762915	229.57086	118.63823	1974.2390666007996
10	375.32678	107.90958	688.819	184.47722	321.50272	63.751385	430.02856	226.13066	80.58	72.0	39999	662.0504	611.6694	2348.8735	-180.22412	662.0428	611.6662	2298.4893	-176.09315	-699.07666	3755.3088	5.669756	0.019345239	5.7487674	5.6008215	150.07747	15.098496	205.97198	99.803535	2200.859712600708
11	311.89362	80.94846	526.12384	145.43204	342.95248	44.72456	422.8587	287.31125	66.1	67.8	43999	546.8433	511.56918	1826.6519	-243.48264	546.84174	511.57312	1835.2601	-213.99251	-575.0175	2569.827	5.6621695	0.019938521	5.733203	5.583921	125.60375	13.32079	177.20183	86.133804	2425.8949885368347
12	376.88513	92.600586	606.67126	201.98419	448.1898	93.016495	569.11334	331.96915	76.49056	97.4	47999	443.4412	417.47427	1622.8229	-147.71913	443.43588	417.4616	1574.1418	-147.75801	-463.9829	1603.2722	5.657655	0.019991007	5.7232413	5.580477	97.55545	10.755499	142.44533	64.68626	2657.561448097229
13	410.37317	121.43953	698.2525	186.45169	377.49902	68.76702	511.0808	294.2349	86.804344	80.2	51999	352.11475	319.9514	1369.6315	-89.40728	352.11768	319.94626	1187.6667	-87.45526	-367.54227	1046.6388	5.6558967	0.019761188	5.721551	5.5825515	78.0552	8.553589	112.2609	55.349102	2891.754880428314
14	418.58798	116.33526	774.3596	277.24442	497.889	169.8593	868.75665	215.44179	88.31111	104.9	55999	293.03635	245.24603	1027.5981	-95.14685	293.0339	245.24405	1071.0621	-91.02969	-304.2177	638.2905	5.647838	0.020381264	5.7214212	5.5611634	61.64315	7.005792	93.287186	43.166103	3115.6374082565308
15	378.62955	100.74035	724.0812	257.01022	434.7652	86.62234	576.9547	331.1186	86.23913	98.0	59999	249.49867	189.18402	825.2653	-75.293564	249.49622	189.19386	865.37854	-69.70033	-257.7048	391.26132	5.648115	0.019949786	5.714855	5.5814204	48.623642	4.588515	66.34111	32.619934	3341.0277569293976
16	409.6999	124.323784	855.97986	231.80412	370.75177	87.342026	509.13782	245.15817	92.860466	86.1	63999	225.18507	155.5981	677.4693	-52.416878	225.1847	155.60437	664.23175	-57.11271	-231.3251	250.71736	5.638969	0.021729011	5.712039	5.5486755	39.12066	4.0929756	55.583942	28.5278	3565.7682292461395
17	448.16138	131.7633	810.16003	241.25444	412.90878	69.00913	556.10693	312.56308	94.0	83.9	67999	205.44098	128.56711	552.07526	-75.094765	205.4421	128.575	531.8166	-78.38127	-209.92175	172.44263	5.6346316	0.020306692	5.7021756	5.5628023	30.919588	2.7606642	43.988194	23.077421	3790.5869615077972
18	441.19373	90.783035	698.9505	285.8154	528.65814	147.65044	815.5902	309.93253	94.2619	114.5	71999	197.43706	116.04495	439.49774	-48.846176	197.43808	116.05131	433.90692	-70.84449	-201.15973	130.39925	5.6314864	0.020926703	5.6990523	5.549478	26.031113	1.9247717	33.337032	20.808798	4016.813287258148
19	517.6928	169.26035	886.7737	208.99118	474.3493	111.35729	687.1551	305.5536	106.47369	105.1	75999	193.4681	109.995224	394.3263	-41.884777	193.46764	110.00101	393.30316	-48.179226	-196.70174	112.529396	5.620494	0.02165575	5.696045	5.5418925	23.80057	1.6605206	30.998182	19.132719	4240.84229516983
