Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
1	121.33764	34.806496	223.43472	81.88804	260.65875	10.113992	281.73718	251.17996	24.763975	49.4	3999	43.57255	33.42588	162.41931	-34.583244	43.57268	33.42539	160.307	-36.97764	-49.009396	9.552806	5.783695	0.34012455	5.862019	0.32265306	8.94343	6.580825	25.774714	1.6756601e-07	168.74590849876404	0.0
2	113.20103	32.706245	295.93713	82.27356	234.12915	17.11074	255.00142	207.0485	23.15029	47.6	7999	309.9325	198.27606	901.4447	-118.3471	309.9293	198.28468	886.0517	-133.58632	-349.95917	180.52982	5.8044486	0.011432408	5.8417635	5.763876	76.20378	35.26288	157.17259	22.071978	393.8716835975647	0.0
3	141.08063	69.82969	369.71973	71.24176	287.6798	67.47523	391.68158	183.81767	28.89051	58.0	11999	872.95	505.85413	2203.0115	-467.10733	872.94415	505.8935	2257.6006	-414.3386	-966.2371	1308.8688	5.769898	0.027186206	5.830807	5.686648	177.34866	16.974525	228.07405	134.851	619.4628088474274	0.0
4	259.39706	64.28399	380.7614	116.3891	265.545	53.580147	360.53174	165.95804	52.592106	53.7	15999	1052.3815	677.01324	2216.49	-318.7569	1052.3737	677.06836	2280.8635	-324.583	-1131.549	2533.8655	5.7136526	0.018214446	5.770653	5.6372757	190.75304	20.76306	261.62805	134.03397	844.2007632255554	0.0
5	300.7997	81.0672	607.8912	189.85234	297.13202	41.16224	379.25833	228.47937	60.0	59.7	19999	1061.839	800.42523	2356.5283	-142.84752	1061.8439	800.47437	2319.332	-144.76018	-1134.1787	3098.346	5.698875	0.018299326	5.759725	5.6291475	199.53357	19.096895	299.7952	134.79077	1067.6167085170746	0.0
6	379.67538	160.43155	1216.0	219.24997	472.49893	123.85068	726.29486	273.48267	78.01961	103.5	23999	945.29126	781.3716	2295.8406	-134.69714	945.28296	781.45624	2275.487	-135.82722	-1003.5985	3426.6265	5.6907315	0.017937541	5.74892	5.617481	181.32347	19.978952	252.4088	120.497116	1296.8938903808594	0.0
7	251.75812	69.73437	501.8063	142.86777	364.1908	70.844215	491.81754	255.59549	58.101448	75.8	27999	844.4119	732.5022	2643.6035	-256.43524	844.40826	732.54456	2638.8186	-240.71405	-902.07526	3951.2014	5.6933155	0.017712316	5.7594914	5.63411	181.44469	17.842323	250.62117	128.85045	1520.8978912830353	0.0
8	326.71393	113.838425	643.1519	146.39456	254.30717	101.61912	495.28638	181.07973	71.33929	58.3	31999	837.3785	766.2547	2842.4385	-155.64159	837.38574	766.29095	2824.0247	-136.75368	-893.6235	4099.31	5.6978254	0.017314235	5.753497	5.639015	185.55118	17.63354	265.45438	126.75988	1745.6487987041473	0.0
9	438.70438	109.10754	693.3341	234.80144	441.96347	94.01877	582.09625	250.72208	94.38095	91.6	35999	742.131	714.5792	2394.2356	-160.62206	742.1454	714.63275	2330.6316	-141.9327	-787.5525	3665.7773	5.6886683	0.018448748	5.745639	5.6245613	171.71753	18.770864	241.13849	109.81802	1971.1781930923462	0.0
10	367.93915	93.912445	664.96545	225.91129	384.31927	107.82614	607.287	265.4136	76.77358	85.4	39999	626.9127	606.36285	2076.9255	-120.88051	626.9182	606.40155	2094.3801	-116.59277	-661.5871	2779.915	5.6794457	0.018228572	5.745804	5.6145525	142.12418	18.55283	219.07777	94.02888	2197.9380700588226	0.0
11	351.86703	99.7071	717.69293	232.55359	420.7536	97.08446	634.6589	306.92184	79.18	89.1	43999	546.67554	492.41367	1684.3416	-161.99078	546.6794	492.45303	1694.3132	-139.1507	-575.7143	2042.9402	5.68287	0.018402642	5.7413664	5.608699	116.45413	12.7538595	172.7415	81.214935	2425.1332206726074	0.0
