Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	118.530045	33.665977	291.64462	78.45109	292.3019	82.87558	453.32812	190.35645	24.10909	61.8	3999	28.44021	18.95045	105.435	-11.918007	28.439743	18.952038	104.48204	-11.203604	-28.46732	4.4639654	1.1706277	1.4058776	4.622219	0.32356066	4.727327	3.5490344	15.390422	2.044276e-07	189.31359839439392
2	121.619934	35.999237	265.53738	82.57816	180.80685	23.025904	238.50189	158.77002	24.765432	38.0	7999	243.71356	185.87482	843.1052	-75.173225	243.71284	185.87598	844.907	-67.16404	-274.53268	101.9842	5.439771	0.29792932	5.7527037	4.263754	67.15506	35.710907	151.88165	13.330415	441.48484683036804
3	172.32544	77.37748	514.5754	82.70625	246.45862	42.238823	324.50266	192.11272	35.318584	52.0	11999	945.43945	600.5375	2318.1235	-896.09106	945.4353	600.5348	2346.5806	-904.9932	-1048.1527	1468.5175	5.705613	0.028016599	5.78602	5.6128225	236.57616	50.47422	340.19516	120.81152	691.3535561561584
4	237.55786	98.361565	498.6038	115.89597	258.33252	38.31432	317.70044	203.39774	50.2	55.1	15999	1256.0535	785.1344	2414.5183	-1007.2147	1256.0658	785.1123	2422.4424	-1029.9945	-1339.9707	2769.892	5.672379	0.021382758	5.7430925	5.589564	237.14128	23.101223	332.0974	160.43895	943.7135939598083
5	326.8131	115.3026	632.49493	168.12561	354.80884	93.609	617.2003	275.22733	70.052635	79.6	19999	1203.9236	824.0499	2409.8918	-513.1818	1203.9124	824.06134	2401.666	-434.60248	-1268.234	2963.4573	5.645873	0.0225227	5.7224116	5.5471883	204.20137	22.99864	282.34424	137.60336	1194.8428120613098
6	326.51776	82.02923	549.6433	140.55345	382.42023	69.20362	489.3295	229.9855	69.29825	77.7	23999	1030.5465	763.59973	2405.9856	-180.11334	1030.529	763.6155	2422.589	-194.52753	-1078.3358	2690.9922	5.6246495	0.021786569	5.7035503	5.5479445	173.33365	19.38843	257.44125	116.31726	1445.709848165512
7	351.6031	88.07518	713.3673	200.40648	343.17645	82.7459	537.5552	246.82655	74.74074	77.8	27999	837.61456	651.7563	2041.3433	-132.08263	837.61127	651.7575	2043.4437	-130.74223	-871.8256	2458.5718	5.616207	0.021854099	5.6875267	5.5337195	138.40195	16.335766	208.64261	95.18053	1695.3867692947388
8	346.28793	112.53049	821.0677	207.14128	368.23026	55.072975	444.05228	286.87872	76.44231	85.6	31999	653.10516	530.9929	1708.8455	-131.55827	653.0983	530.99945	1719.3512	-141.88751	-678.46375	2334.7566	5.6149397	0.022124007	5.6971107	5.514092	119.88736	10.265022	161.77194	87.66634	1944.8271822929382
9	340.67343	120.97387	877.773	172.66452	302.15887	69.01938	459.20663	209.34773	77.70588	64.7	35999	564.6055	481.47888	1584.1599	-114.17784	564.603	481.4807	1586.5354	-119.134315	-586.90533	2038.228	5.6133556	0.02291776	5.692656	5.5235915	114.95842	10.850283	160.76796	83.917305	2197.8458104133606
10	376.41498	121.38533	823.1998	217.40717	444.16278	91.94459	581.4341	249.76874	79.98039	91.7	39999	496.97464	422.9446	1443.3022	-118.93771	496.97665	422.92453	1472.1886	-141.34048	-513.94867	1755.0962	5.6005754	0.024477476	5.679285	5.5036254	99.491974	9.941231	140.60204	70.249725	2446.2852754592896
11	408.6694	122.26517	808.14294	187.46355	474.5537	236.27379	1134.8777	272.43478	85.847824	98.6	43999	435.80063	367.24292	1370.7288	-99.10516	435.8015	367.23483	1317.4991	-112.41528	-448.216	1279.5958	5.5829825	0.023660721	5.6682305	5.4853644	84.54712	8.794551	117.80731	59.605583	2696.907027244568
12	450.73785	127.50113	813.60675	232.81267	435.24493	65.20067	525.5459	325.94696	98.5	100.1	47999	367.58536	297.4998	1095.8353	-94.90387	367.5859	297.4934	1105.1724	-102.50515	-375.65036	844.38855	5.5470552	0.027517345	5.6420164	5.4603453	69.353935	7.176343	100.15351	47.504955	2949.3036856651306
13	430.3377	129.27124	721.8873	244.77028	438.1233	106.95493	702.40686	297.59082	94.69768	91.8	51999	312.99567	238.9696	875.26135	-75.64443	313.00223	238.97197	877.44855	-82.18185	-317.3196	546.97876	5.494164	0.034010984	5.6033006	5.374038	54.653107	5.992895	76.61309	37.75117	3199.236734867096
14	461.313	121.43315	850.1542	295.40784	469.93707	85.16042	586.7676	332.62308	99.61539	100.2	55999	269.542	190.83304	741.2898	-81.08441	269.54608	190.83609	710.0058	-92.49614	-271.15225	351.89337	5.395079	0.046015862	5.519651	5.2349935	43.231808	4.05658	60.219852	31.924551	3448.6772150993347
15	512.4069	183.81892	1166.7067	283.48517	447.33276	60.207188	533.5026	360.4523	106.410255	88.3	59999	248.00406	165.08128	619.2194	-113.708084	248.0045	165.07883	636.66064	-93.82524	-248.64734	256.4874	5.2679715	0.049199488	5.41592	5.080803	36.86742	3.478769	50.902386	26.558481	3698.6197562217712
16	505.03073	122.232445	809.18036	295.86285	614.81165	184.88531	992.5784	405.92508	103.3421	125.5	63999	230.99406	145.08044	523.69305	-59.010933	230.99455	145.07915	550.6183	-64.54471	-230.30576	184.8405	5.097668	0.06699692	5.289899	4.886157	30.713371	2.99418	42.143963	23.14506	3947.7764995098114
17	556.2586	176.4035	1056.0818	308.14804	499.84897	96.01984	746.7744	376.39252	121.03125	105.0	67999	214.88531	128.11057	462.67377	-61.287212	214.8872	128.11137	459.32968	-47.4152	-213.37549	146.81343	4.8689375	0.074469164	5.094439	4.670357	26.149235	2.3345246	38.83147	19.78269	4197.365233659744
18	596.32074	256.2607	1433.2003	283.65015	438.8791	145.83092	774.06165	294.11823	126.15151	95.3	71999	205.70424	117.80229	421.84592	-32.20021	205.70366	117.804054	416.95468	-44.156017	-203.80229	121.69413	4.677838	0.069680944	4.887057	4.4393725	23.278421	1.8986405	31.317192	17.62456	4447.9351143836975
19	596.20087	189.46376	1135.1292	310.6532	539.1207	128.47354	750.2538	382.17844	124.5	108.5	75999	201.50508	113.91518	400.0079	-59.76372	201.50522	113.91612	393.4988	-59.291733	-199.45825	109.17745	4.53356	0.07073481	4.8033814	4.251131	21.818825	1.7169411	29.156816	16.778934	4697.892343044281
20	597.24365	208.2095	1216.45	359.59824	487.53793	114.215675	763.01483	342.58508	125.83871	113.6	79999	198.49756	110.89858	395.1829	-41.314503	198.4961	110.900444	389.73953	-53.70992	-196.2077	96.903564	4.415886	0.0638294	4.6519327	4.067479	20.33408	1.6317885	28.19043	15.986879	4949.796197652817
21	708.26904	230.52724	1345.4125	386.71277	673.81433	474.85974	2050.6812	328.22882	146.92592	139.0	83999	196.55336	109.30621	391.8945	-36.880535	196.55228	109.304115	389.22235	-30.605938	-194.25055	91.38278	4.331132	0.06760438	4.562238	4.120418	19.63673	1.5660895	25.571507	15.363914	5199.232182264328
22	688.73486	278.51413	1289.3545	335.84888	615.47174	288.0086	1389.8605	354.32062	140.07143	127.7	87999	196.32164	108.77161	402.15027	-30.036167	196.32178	108.76794	401.079	-29.13607	-193.92946	89.371086	4.2331944	0.06377697	4.471007	3.9913337	19.289555	1.6171768	25.917963	14.788066	5451.0442481040955
23	803.0454	359.36557	1487.668	380.86725	639.03613	220.20648	1075.073	337.02954	164.12	129.1	91999	195.46536	107.261635	416.87656	-37.699455	195.4649	107.25966	411.1557	-37.910572	-192.93437	86.532394	4.172639	0.06648663	4.3728676	3.9375706	18.487854	1.5520924	25.645582	14.525283	5703.07806968689
24	947.03723	422.38104	2276.9023	425.31955	721.1587	207.374	1108.4022	444.68234	195.57143	148.5	95999	197.13062	106.76712	425.01898	-31.638403	197.13065	106.76581	431.38373	-30.766716	-194.572	87.04711	4.1585937	0.067292094	4.3670597	3.9226964	18.290922	1.4845817	25.65306	14.422827	5955.105428218842
25	891.91406	527.7437	2920.7966	383.15613	812.39087	251.82193	1172.0845	487.12024	184.18182	156.5	99999	200.33945	107.8029	427.64883	-34.071644	200.33902	107.801285	429.1167	-32.565857	-197.79547	86.094345	4.159148	0.06519724	4.3632355	3.8932798	18.201712	1.5825146	26.704885	14.186846	6206.655195474625
26	970.7616	380.87726	1938.9637	549.33246	1533.5789	1317.1586	4963.5063	630.83057	195.52632	304.2	103999	204.73274	109.213036	415.66428	-27.820692	204.73248	109.21193	407.52264	-32.50771	-202.1951	86.724655	4.169368	0.06437288	4.4071283	3.9416275	18.27573	1.508863	24.036991	14.595477	6459.2663424015045
27	1226.531	619.08624	2483.3828	515.29224	1011.93994	264.60675	1373.2106	398.15704	254.25	200.9	107999	209.8134	111.238594	400.53827	-25.902424	209.81406	111.23577	406.0253	-26.692265	-207.28178	88.41611	4.1765184	0.06415254	4.4608407	3.9232447	18.455503	1.5087574	25.765585	14.397688	6711.578608989716
