Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	120.0854	34.436672	246.50975	78.65423	260.49802	15.016171	279.1612	231.055	24.530865	49.4	3999	29.60554	20.617165	112.74753	-10.117754	29.605207	20.616886	113.046745	-8.952873	-30.11386	5.1869917	1.4162445	1.6483915	5.0919595	0.32246974	5.4523997	4.7433558	20.175993	1.7213418e-07	180.88522911071777
2	120.734436	34.530727	243.10274	82.26937	453.11542	39.95299	544.386	387.00803	24.625767	87.5	7999	302.7773	223.21002	1135.4513	-216.06165	302.7761	223.20872	1127.9929	-212.0111	-343.51727	168.1492	5.531696	0.24837404	5.7776594	4.594128	77.70356	41.01929	174.79848	18.895906	436.4875876903534
3	152.68283	70.8095	385.45816	80.3016	319.8896	118.10174	502.6542	91.78228	31.085938	66.0	11999	1225.807	687.0243	3265.2021	-937.63275	1225.7958	687.04	3364.1973	-1013.0943	-1358.7245	2352.8623	5.7354665	0.020068726	5.803226	5.647532	268.8034	53.059917	407.49084	151.91222	690.2905180454254
4	275.08328	75.05419	465.37457	130.67853	227.40422	25.412394	287.59756	198.40373	58.588234	53.5	15999	1973.9934	1252.4734	4013.2908	-486.90146	1974.0026	1252.4712	4000.6694	-504.20532	-2125.4968	6600.652	5.6845264	0.02313598	5.761695	5.6120744	379.53247	31.272026	502.145	256.4642	943.4422471523285
5	279.64993	84.450325	639.5448	154.07416	259.3982	38.369793	323.6984	193.10478	57.385715	52.9	19999	2077.21	1490.1088	4931.7573	-411.342	2077.238	1490.02	4960.118	-405.595	-2206.1646	8261.956	5.663576	0.019941162	5.7424307	5.5936174	351.8772	33.97978	485.79828	235.40132	1196.865089893341
6	313.091	75.77178	606.57495	169.3157	393.16254	112.10648	593.2583	244.48038	64.803276	87.1	23999	1921.1185	1493.7422	4213.2705	-330.41287	1921.1176	1493.6854	4262.7314	-335.56976	-2025.3668	11475.318	5.651037	0.020295389	5.7202353	5.562702	307.61285	33.1732	447.29868	205.39703	1449.8468542099
7	374.6496	120.199066	698.4286	149.67181	453.7542	131.81384	658.7043	294.49533	80.98	94.1	27999	1565.3801	1370.6053	4143.9873	-441.61618	1565.3743	1370.603	4120.595	-468.1838	-1644.6201	13046.929	5.6403136	0.02073748	5.710653	5.563213	271.50626	25.988096	364.9031	191.95244	1702.586219072342
8	364.4207	105.185455	708.3388	206.0793	326.69977	76.279594	463.97644	233.21928	76.53846	67.9	31999	1252.1194	1165.0305	4039.7058	-373.06747	1252.1237	1165.0217	4085.7642	-344.96716	-1316.9618	11580.858	5.6419797	0.020929227	5.7064853	5.5584955	244.4819	25.070538	353.42468	165.08226	1955.5585689544678
9	307.6437	121.28898	772.67737	112.91499	332.7602	128.24405	669.4156	232.49759	65.65574	71.0	35999	990.9392	942.1287	4204.1367	-373.99905	990.96454	942.08453	4089.9363	-359.2845	-1039.7375	10316.92	5.637643	0.02026011	5.7095537	5.5618773	211.96696	19.658173	284.35504	140.29297	2206.5603506565094
10	365.37408	108.002144	625.32886	186.03871	352.6385	68.931206	497.87418	240.95705	78.76471	71.9	39999	827.57184	797.1883	3722.488	-464.91464	827.58014	797.1832	3655.5288	-376.94714	-867.34	7101.987	5.6317163	0.02017755	5.695413	5.55558	187.84192	20.26101	277.17303	126.19229	2460.3650138378143
