Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
1	115.53485	29.32408	212.9886	78.085045	107.77893	28.02308	160.19537	73.22705	23.64881	25.1	3999	27.950514	17.945034	94.63733	-10.094026	27.950193	17.94529	94.65021	-11.459535	-27.856394	5.6240606	1.0560846	1.0655874	4.0830235	0.32432315	4.5112104	2.7055264	11.672148	2.0447114e-07	190.12567687034607	1.2
2	115.98435	32.388123	227.16399	78.332275	153.39114	8.173398	166.09447	136.45863	23.664705	31.9	7999	200.68706	138.86235	611.0195	-64.77837	200.68878	138.86026	608.35876	-66.51376	-221.22513	64.63677	5.288684	0.3778143	5.6416574	3.5452704	46.360863	21.494053	87.95243	10.235607	442.37346172332764	1.2
3	148.78854	66.05344	416.7983	82.03819	249.1093	34.932556	317.65936	203.10716	31.484127	52.3	11999	619.8559	379.67197	1581.6317	-436.12955	619.8622	379.65735	1582.5126	-462.41782	-685.6815	635.2041	5.6278963	0.053795446	5.7236276	5.476667	152.22177	42.513123	234.5287	76.47602	691.626499414444	1.2
4	245.80724	54.44011	427.1481	143.42914	297.13956	76.97168	421.16187	205.8237	54.767124	63.7	15999	978.02423	624.0964	1986.8319	-297.02127	978.0154	624.10876	1983.6305	-335.19092	-1045.735	1829.7324	5.6326466	0.025084976	5.707589	5.534377	189.15587	17.390547	249.82945	123.89511	946.5888879299164	1.2
5	298.48657	68.96878	539.3681	204.10042	268.82724	52.089237	367.51987	195.9712	60.89394	52.8	19999	978.7257	683.4922	2030.1486	-206.8935	978.7214	683.49963	2025.2161	-230.08743	-1033.548	2277.3455	5.612457	0.023031637	5.6900167	5.520133	171.30627	17.494726	239.17632	107.51662	1200.20361161232	1.2
6	265.53674	60.362553	469.428	147.90593	223.87967	27.123316	263.69882	180.2366	55.38889	46.2	23999	854.70013	655.1958	1948.7513	-286.21042	854.69354	655.2149	1957.9174	-262.2554	-893.1096	2297.0024	5.585071	0.023929693	5.660954	5.4923215	144.33528	18.470558	224.08221	98.567055	1451.9624292850494	1.2
7	320.14734	81.06747	537.9436	197.87181	321.3744	70.52856	476.112	218.25507	68.31035	72.3	27999	659.16724	544.40076	1791.4407	-105.184425	659.16504	544.40576	1790.2166	-121.78004	-687.9475	1945.6664	5.5740547	0.022974202	5.651126	5.479761	118.39656	12.968321	175.05391	81.83313	1705.4667553901672	1.2
8	325.95352	81.41654	507.3587	162.5791	409.88934	88.35745	592.0957	302.37177	73.23637	88.1	31999	537.0148	455.86563	1455.1208	-113.698326	537.0142	455.8764	1456.979	-109.074486	-560.4317	1730.3351	5.5667834	0.023240551	5.6492033	5.484495	105.260155	9.679984	143.41243	77.5963	1957.5809845924377	1.2
9	394.31946	84.40856	584.3635	238.46165	371.2512	55.419357	467.29514	284.6481	83.708336	83.7	35999	470.53516	395.8264	1357.1372	-97.28871	470.52948	395.8505	1339.9084	-103.06079	-487.96365	1246.746	5.532214	0.028219197	5.6175046	5.4391255	90.51847	10.267147	128.19423	61.94616	2209.4179816246033	1.2
10	360.6218	68.32651	494.4142	211.09875	396.31924	51.5659	476.14502	319.4753	75.84615	83.6	39999	388.28683	317.8416	1140.8649	-77.1442	388.2906	317.8528	1138.6469	-75.965965	-398.52243	702.79926	5.437128	0.048306745	5.562248	5.2852526	68.622215	8.239698	102.88773	42.398876	2462.0629031658173	1.2
11	387.01846	95.16222	632.3691	229.50862	387.70068	74.52255	551.1876	256.13107	84.708336	78.6	43999	313.10077	237.272	904.4076	-46.06654	313.10602	237.27538	901.376	-46.571392	-318.4295	392.11386	5.24221	0.071727514	5.43944	5.000851	51.084965	6.0119343	77.97865	35.745346	2713.0197224617004	1.2
