Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
1	-23.14387	180.6592	238.19807	-226.95612	95.48128	265.62976	429.76758	-507.26245	1000.0	1000.0	3999	16.976059	22.524578	155.7997	-17.398666	16.97539	22.524157	155.79378	-17.3277	-19.364058	5.395707	1.8584121	1.12926	3.1927936	0.183261	0.40065002	0.19689015	0.9990005	0.25388467	77.96231174468994
2	-206.86877	100.22774	-54.569683	-309.98914	-111.767456	220.86205	267.40677	-525.286	1000.0	1000.0	7999	123.76278	50.341316	295.89508	8.346855	123.76336	50.339695	294.40167	8.214415	-128.73854	12.534757	3.1780868	0.056630038	3.3174672	2.9778864	0.6699144	0.42583415	2.043865	0.26165438	175.19559907913208
3	-54.167248	148.63249	121.299545	-238.16293	-57.016132	244.44444	254.13184	-543.665	1000.0	1000.0	11999	229.79346	43.487934	433.20813	110.93433	229.79358	43.487328	431.3981	112.36442	-232.96678	21.320913	2.99301	0.14762832	3.3110852	2.6527183	3.707258	1.7963973	6.792449	1.0934588	274.1221525669098
4	-108.371056	396.72714	417.02853	-605.05096	-4.111374	403.0888	696.98267	-580.988	1000.0	1000.0	15999	277.8897	32.082417	486.2024	183.86671	277.88953	32.083694	483.5276	184.84648	-279.94882	43.196476	2.9256003	0.09812338	3.131111	2.6087186	0.32208022	0.2510091	1.0925609	0.14079532	372.7088041305542
5	63.96451	205.15083	336.67798	-241.48819	56.393402	271.37137	335.6278	-473.35968	1000.0	1000.0	19999	308.70673	26.013613	444.92197	194.8247	308.7069	26.01487	443.09872	195.80016	-309.44318	36.430397	2.8940196	0.1453944	3.1753664	2.5426173	0.17873746	0.123697616	0.37862536	0.013268874	471.51231622695923
6	180.29216	220.39188	447.5748	-137.29866	48.45034	77.893776	200.93933	-99.75438	1000.0	1000.0	23999	305.77795	30.320389	426.17282	128.0411	305.77872	30.314972	426.54736	130.2062	-305.73038	39.63607	2.6431446	0.12687215	2.9285262	2.2593737	0.0072535896	0.0013715421	0.013256611	0.0067272726	575.3932766914368
7	72.099396	92.749916	181.365	-72.99152	50.501488	80.71888	234.78224	-53.878468	1000.0	1000.0	27999	298.54117	36.621696	474.61258	111.29549	298.54086	36.617886	469.33102	105.33985	-298.4141	32.875515	2.5399814	0.14217196	2.9151378	2.0409367	0.006738702	1.3698357e-06	0.006744003	0.0067346515	678.504554271698
8	38.11489	88.33014	167.99106	-47.30338	108.24601	82.56917	275.43286	14.866355	1000.0	1000.0	31999	283.40457	36.75561	470.09653	91.36598	283.40485	36.753105	458.11206	91.22094	-282.90903	29.728807	2.271331	0.11440088	2.5619812	1.9045165	0.006738208	1.1682573e-06	0.0067425654	0.00673416	778.5751960277557
9	160.8938	127.4814	266.31387	-56.106884	77.70678	85.75985	202.11067	-54.66565	1000.0	1000.0	35999	259.34058	33.525604	428.20587	62.93988	259.3411	33.521317	426.1397	65.15854	-258.5941	23.959204	1.7939837	0.1276079	2.193298	1.4828577	0.006737801	1.1562641e-06	0.006741103	0.006733688	874.4462695121765
10	229.48047	205.22299	503.55222	27.137325	408.5485	91.70676	557.5148	214.60054	1000.0	1000.0	39999	229.61014	30.117989	400.5973	52.787422	229.61063	30.112013	397.80466	55.47478	-228.74815	21.630842	1.6533083	0.07572942	1.9246876	1.3435746	0.006737686	1.1520084e-06	0.0067413854	0.0067333826	981.3467674255371
11	143.11136	75.08058	228.17815	23.603401	59.807484	112.611496	197.85583	-194.06157	1000.0	1000.0	43999	200.58228	28.770031	387.12888	52.772106	200.5827	28.762794	386.95938	51.68026	-199.57153	20.526085	1.5020286	0.08881078	1.8005106	1.218157	0.006737598	1.1005274e-06	0.0067406753	0.0067334985	1084.6271064281464
12	280.38016	228.53096	566.8037	23.197802	-63.132378	140.81888	154.3128	-293.5535	1000.0	1000.0	47999	171.91954	28.71048	386.9044	33.93918	171.91966	28.705221	386.46298	32.66936	-170.86191	19.169405	1.301123	0.08601085	1.581574	1.0349826	0.0067375	1.1955179e-06	0.006741138	0.006732587	1187.6610136032104
13	267.02145	206.41397	554.8256	32.567375	232.37029	132.5338	430.93375	-116.61558	1000.0	1000.0	51999	146.19946	30.115744	372.8876	2.7178025	146.19923	30.112696	375.8475	1.7066727	-145.0959	19.170816	1.3178401	0.082721315	1.5992519	0.9573894	0.0067375223	1.130185e-06	0.006740826	0.006732773	1289.4637386798859
14	399.19147	186.14755	702.23267	195.64893	352.6072	86.20713	545.18005	273.95996	1000.0	1000.0	55999	126.73787	33.06588	369.05368	-17.010777	126.73829	33.06012	369.97992	-17.001492	-125.67679	20.26504	1.4155923	0.07036556	1.6657715	1.1723819	0.006737614	1.037068e-06	0.0067406753	0.0067331805	1388.322108745575
15	100.598076	229.80595	264.36325	-295.06516	37.663204	24.451664	69.1532	6.7630973	1000.0	1000.0	59999	111.30681	35.925076	357.4066	-23.629795	111.3075	35.920097	359.7071	-20.856865	-110.224464	19.525122	1.3453956	0.08903183	1.7189409	1.0649757	0.0067375274	1.1424471e-06	0.0067412285	0.0067328787	1487.4520800113678
16	261.4535	184.61002	506.34225	82.258194	199.19911	193.97403	433.7331	-12.608841	1000.0	1000.0	63999	97.35687	38.182365	349.25412	-16.686125	97.35796	38.17787	351.1584	-16.837322	-96.26652	18.738325	1.2428452	0.06971347	1.5362139	1.0132282	0.006737445	1.1934903e-06	0.0067412057	0.0067324997	1591.9818680286407
17	292.64847	112.301575	448.8367	152.80411	551.40265	145.38646	725.46533	255.4034	1000.0	1000.0	67999	85.65033	39.137714	351.53293	-18.867054	85.65038	39.136574	354.9464	-19.412996	-84.62039	17.96655	1.2136594	0.07301615	1.4872925	0.97429764	0.006737452	1.2038669e-06	0.006741051	0.006732262	1694.3907487392426
18	636.3025	105.31188	711.8747	455.28107	561.96405	210.08382	834.67255	191.76268	1000.0	1000.0	71999	75.16725	40.95605	342.68152	-21.872585	75.16738	40.9548	345.79572	-18.725391	-74.13908	17.927563	1.1667085	0.070076056	1.483111	0.92353284	0.0067374273	1.1148767e-06	0.0067404825	0.0067334278	1796.133272409439
19	872.32104	223.56609	1160.2428	601.48944	776.129	53.256668	871.5609	704.6211	1000.0	1000.0	75999	67.77395	44.744953	344.12186	-28.359512	67.7742	44.745625	343.66458	-23.772676	-66.79358	19.288633	1.2255878	0.081960775	1.5225474	0.9672727	0.0067374296	1.2081426e-06	0.006740746	0.0067332964	1898.5309982299805
20	680.86646	101.033226	817.8632	553.29266	940.73944	273.88666	1538.7153	456.0162	1000.0	1000.0	79999	64.57044	50.137184	340.6987	-44.911865	64.57166	50.137615	335.6021	-42.157375	-63.627895	21.29089	1.3562679	0.08661895	1.6814781	1.0701045	0.0067375153	1.165365e-06	0.006741116	0.0067335498	2000.9753816127777
21	370.97638	413.48093	795.8003	-287.18582	420.2924	55.807705	509.87567	319.38715	1000.0	1000.0	83999	66.747025	53.031345	361.88467	-47.93893	66.74768	53.03311	359.09116	-49.97448	-65.93985	22.440128	1.6542895	0.15288445	1.9966868	1.2036382	0.00673772	1.0402819e-06	0.0067411126	0.006733845	2107.6297125816345
22	511.91754	254.08044	858.6329	176.98503	543.32684	103.80577	646.83276	338.44965	1000.0	1000.0	87999	73.85771	53.55427	380.1595	-34.01089	73.85797	53.555477	374.8858	-31.19404	-72.98034	21.211012	1.6285509	0.23892549	2.1753097	1.1512537	0.006737695	1.1558986e-06	0.006741794	0.0067333477	2212.106682062149
23	419.8368	381.61224	886.8251	-63.187687	391.53705	233.50552	677.9496	1.8179826	1000.0	1000.0	91999	70.81886	56.764133	415.8993	-37.1137	70.81803	56.76556	414.26227	-38.173695	-69.8461	20.50371	1.2944117	0.083469644	1.5948689	0.9966666	0.006737477	1.145965e-06	0.0067403796	0.006733627	2313.9522321224213
24	726.909	192.06075	972.00836	487.03534	484.29926	268.72632	745.70715	-238.98091	1000.0	1000.0	95999	65.5345	60.170536	467.9677	-43.877613	65.53438	60.17227	461.80246	-42.945854	-64.500275	20.643246	1.2234089	0.0749276	1.5131134	0.9516605	0.006737484	1.093884e-06	0.0067407587	0.0067334115	2410.7486293315887
25	724.70874	117.22326	895.1032	605.94366	364.88177	244.17496	863.24414	12.9093075	1000.0	1000.0	99999	60.71534	62.140987	515.397	-54.303516	60.715485	62.142918	505.93832	-53.73399	-59.696186	20.652891	1.2032449	0.07369773	1.5068914	0.9844709	0.0067374683	1.1105476e-06	0.0067406846	0.0067332354	2513.1115667819977
26	623.6931	230.72134	900.0421	259.60318	750.2279	208.0382	1022.65466	249.6719	1000.0	1000.0	103999	57.08319	63.96748	546.836	-56.95048	57.08289	63.969753	542.636	-55.970314	-56.067554	21.665384	1.1935276	0.07344786	1.4624772	0.9639666	0.0067374264	1.1987671e-06	0.0067407554	0.0067332964	2614.822080850601
27	837.84546	230.26256	1117.9188	480.2826	509.06992	165.78137	818.3957	261.90347	1000.0	1000.0	107999	55.820484	66.55999	606.3824	-59.695026	55.82021	66.56162	607.7321	-57.38101	-54.852226	23.365059	1.2914397	0.07484628	1.5458553	1.0542371	0.006737532	1.0751443e-06	0.0067403796	0.0067334985	2718.7432513237
28	1019.35126	166.79591	1214.8828	758.142	752.6421	178.48888	972.30817	470.84473	1000.0	1000.0	111999	55.775925	69.955444	654.9182	-65.08338	55.775696	69.95766	651.61707	-62.477837	-54.81899	24.358355	1.3133024	0.08031778	1.6087663	1.0334458	0.006737509	1.1129405e-06	0.006740823	0.006733476	2821.9416534900665
29	1082.9979	144.65672	1313.2684	919.4541	750.41736	309.56183	1193.9839	191.98073	1000.0	1000.0	115999	58.569763	76.02323	621.8541	-64.289635	58.569817	76.023315	620.19183	-62.10745	-57.599117	25.4682	1.3350604	0.07887913	1.6373241	1.0755687	0.006737507	1.1984362e-06	0.00674082	0.0067331195	2926.357807159424
30	1175.0049	314.18018	1633.531	756.95746	1018.9188	407.97037	1605.6687	379.20972	1000.0	1000.0	119999	62.19866	77.02007	575.3082	-71.727936	62.19817	77.020996	573.6995	-65.58724	-61.25528	26.119123	1.4490149	0.07772287	1.7247385	1.2092873	0.0067376094	1.0631217e-06	0.006740781	0.0067336783	3026.67777633667
31	953.5118	223.20349	1266.307	646.6691	315.5865	300.1305	851.5774	-146.22992	1000.0	1000.0	123999	66.72126	76.859344	504.6557	-71.29801	66.72061	76.859634	504.58218	-70.32181	-65.724205	28.042746	1.4794722	0.0782617	1.7562113	1.2291241	0.006737586	1.1498977e-06	0.0067411894	0.0067333095	3127.953577041626
32	688.28906	385.70035	1267.0674	332.27368	1366.1552	297.1161	1785.3279	840.2498	1000.0	1000.0	127999	74.73446	73.57151	410.7029	-73.61673	74.73329	73.57168	409.90567	-73.14192	-73.842575	31.391718	1.789762	0.1287585	2.1609063	1.3952737	0.0067378036	1.0267651e-06	0.0067415847	0.006734041	3231.2283918857574
33	938.72546	82.14505	1016.16064	802.96204	1226.4581	312.25687	1710.2802	679.3196	1000.0	1000.0	131999	82.29005	68.34791	379.06323	-68.740654	82.28879	68.348976	382.60028	-65.09951	-81.26773	28.27211	1.74711	0.16709098	2.178663	1.2509773	0.0067377556	1.1127862e-06	0.0067414725	0.006733704	3334.642158269882
34	713.83997	293.3224	1191.3785	426.7207	1027.6997	310.7838	1575.2786	615.21735	1000.0	1000.0	135999	82.05795	67.09747	332.28897	-73.6762	82.05716	67.09834	337.592	-72.11765	-80.96435	27.646204	1.4315394	0.08364667	1.7311996	1.1735231	0.0067375675	1.1850037e-06	0.0067411703	0.0067329397	3438.631515264511
35	1118.0803	103.34748	1225.5491	1005.42236	691.6456	336.6553	1418.2355	154.686	1000.0	1000.0	139999	79.22668	66.22475	288.5618	-66.69956	79.22671	66.22379	288.35388	-68.025185	-78.17175	26.088531	1.4326531	0.075622454	1.7559748	1.1669456	0.0067375517	1.1666187e-06	0.006740566	0.006733778	3539.0671422481537
36	1102.7404	459.54965	1602.2352	607.3464	842.0417	396.56146	1445.1984	-135.98009	1000.0	1000.0	143999	79.9717	66.345825	279.51395	-69.499954	79.971725	66.34576	278.79684	-74.61661	-78.92928	27.502703	1.522057	0.09240456	1.8586767	1.2284225	0.006737597	1.1553092e-06	0.006741209	0.006733036	3640.9017198085785
37	1308.0509	605.76	1957.4214	443.48816	1235.8889	176.42944	1520.6008	985.39105	1000.0	1000.0	147999	84.49748	65.74384	275.6785	-76.49791	84.49669	65.74509	273.82773	-70.51555	-83.520515	28.021276	1.7569406	0.096158914	2.0901637	1.4808726	0.0067377705	1.0633439e-06	0.006741286	0.006733614	3743.218080997467
38	1494.5166	474.18286	1975.1017	787.73157	1371.9941	369.68173	1810.819	785.7036	1000.0	1000.0	151999	89.2407	64.58784	265.43695	-67.857445	89.23996	64.58758	269.44467	-67.80381	-88.15801	24.252068	1.6104723	0.20309831	2.1570568	1.199773	0.006737666	1.1523654e-06	0.006741398	0.0067330166	3844.749027967453
39	1121.1514	516.4244	1895.8801	516.9355	1231.7019	393.89478	2055.151	504.48477	1000.0	1000.0	155999	88.26287	64.95888	266.68216	-64.94731	88.26247	64.95836	268.36246	-67.39383	-87.17888	24.358278	1.4463258	0.08467609	1.7249931	1.1729044	0.006737559	1.1741871e-06	0.0067409873	0.0067326347	3950.4228711128235
40	1424.935	318.74484	1728.4084	930.53595	1273.6277	227.19025	1732.3976	967.74475	1000.0	1000.0	159999	89.38514	66.289825	266.24023	-66.31127	89.38484	66.28934	267.1545	-66.19791	-88.33717	24.734991	1.5975108	0.12633483	2.0030053	1.2282419	0.0067376825	1.0365866e-06	0.0067408327	0.006734131	4052.623467683792
41	1839.28	152.09792	1992.848	1670.735	1520.7701	525.9359	2305.3918	644.0014	1000.0	1000.0	163999	93.65436	67.93173	270.22595	-69.50583	93.65455	67.93187	271.05832	-69.49458	-92.57214	24.811539	1.6044196	0.08906591	1.9185815	1.3049753	0.0067376704	1.0923586e-06	0.0067408876	0.006733399	4155.43451333046
42	1285.2318	789.44244	2106.698	126.88372	1811.5422	330.90494	2261.993	1119.7847	1000.0	1000.0	167999	93.33215	70.14918	273.69067	-63.815506	93.33202	70.14879	274.9254	-63.934242	-92.23833	24.648779	1.5667077	0.06924937	1.8159575	1.2858204	0.0067376727	1.0267872e-06	0.0067405277	0.006733357	4260.391496419907
43	1936.3325	534.414	2713.3855	1328.1033	1533.17	509.03418	2162.033	585.0328	1000.0	1000.0	171999	94.35914	73.147285	306.25208	-69.178955	94.35881	73.14746	307.07315	-74.73067	-93.27442	26.050472	1.589091	0.07595395	1.8813292	1.3299172	0.006737687	1.0749847e-06	0.006741241	0.0067344457	4360.388009548187
44	2300.9314	359.19046	2693.1492	1824.332	2552.5942	547.90686	3404.5496	1647.2478	1000.0	1000.0	175999	98.41953	76.947975	318.73468	-74.9483	98.41937	76.949486	324.21158	-74.91927	-97.38629	27.444183	1.715323	0.08497426	2.0123122	1.4116505	0.0067377216	1.098815e-06	0.006741312	0.006733717	4459.82687830925
45	2136.8435	808.69763	3026.577	849.0617	2941.8118	728.4859	3873.1123	1831.5837	1000.0	1000.0	179999	105.46488	81.75727	329.47876	-76.68038	105.46424	81.758156	331.17548	-80.14457	-104.44864	28.565596	1.7864233	0.07684349	2.0832353	1.5524266	0.0067377845	1.0435908e-06	0.006741003	0.0067342757	4561.177157640457
46	2328.4248	515.15643	2768.0454	1506.9828	2101.9875	453.7891	2988.39	1325.0128	1000.0	1000.0	183999	114.54613	86.53532	343.81494	-83.18112	114.54573	86.53641	343.86465	-81.01588	-113.60101	31.628147	1.8838342	0.0727628	2.1423655	1.6454304	0.0067378595	1.151473e-06	0.0067413663	0.0067339414	4663.656297206879
47	2129.4065	429.50064	2629.4202	1459.144	3520.2969	514.35156	3857.0017	1996.384	1000.0	1000.0	187999	125.49624	90.07279	356.1014	-78.37036	125.49573	90.073456	359.38394	-77.66624	-124.61905	32.11703	2.0500503	0.107394405	2.3427238	1.7161577	0.00673798	1.0215788e-06	0.0067414306	0.006734327	4768.332414865494
48	2808.4631	553.07263	3605.1575	2282.0774	2252.6934	591.937	3436.532	1355.2992	1000.0	1000.0	191999	131.9418	94.33482	366.7617	-86.18707	131.94205	94.3334	368.42072	-81.20949	-130.87302	31.402102	1.7580112	0.07870892	2.0501764	1.5142419	0.0067377617	1.1473045e-06	0.0067414534	0.0067337556	4867.836214542389
49	3454.37	862.67926	4493.2593	2103.9473	2575.9988	1095.5856	4322.21	1340.8473	1000.0	1000.0	195999	136.90703	99.12893	392.2373	-81.12861	136.90674	99.12834	386.85257	-89.830444	-135.96878	34.28385	1.9954689	0.12760578	2.3454542	1.6483111	0.006737957	1.0740989e-06	0.006741122	0.006734298	4967.425541400909
50	3480.232	483.25092	4087.5483	2963.495	3627.1172	58.670124	3715.6118	3550.2253	1000.0	1000.0	199999	148.26842	102.67947	397.02618	-86.54398	148.26762	102.678696	394.82126	-85.39475	-147.40305	34.03539	2.060942	0.09549742	2.3600028	1.7747619	0.0067379703	1.096785e-06	0.0067416495	0.0067338324	5069.614651679993
