Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
1	-87.53093	30.70046	-47.80001	-121.89688	312.15857	11.847697	339.1938	299.32297	1000.0	1000.0	3999	2.1507468	2.1509323	-1.9378142	1.2478559	0.41713396	0.16441056	0.8558342	0.18326491	1.8642639	0.3823091	2.428244	1.2	73.86078906059265
2	3.4615555	164.78023	158.95753	-245.98009	10.652752	70.23741	64.34883	-197.32819	1000.0	1000.0	7999	21.356678	21.356443	-21.616644	10.959881	1.0240756	0.21570936	1.659905	0.5415468	1.7563118	0.25231498	2.298595	1.1563379	167.4824981689453
3	80.00707	86.19169	173.69356	-31.35696	13.15285	0.6776777	14.102113	11.837879	1000.0	1000.0	11999	72.87496	72.874466	-73.647644	20.12623	1.7761859	0.2341453	2.3110428	1.1873579	1.6755073	0.21207671	2.0560193	1.274115	262.58041501045227
4	-18.582533	200.0434	251.11429	-308.65314	283.505	116.354546	530.0115	24.515734	1000.0	1000.0	15999	127.15524	127.15411	-127.70375	15.014499	2.170145	0.0673886	2.38615	1.9153527	1.3020728	0.08143424	1.4544275	1.0713388	357.59267807006836
5	-31.22501	312.4576	238.01598	-551.9986	95.14221	123.316536	286.486	-82.04655	1000.0	1000.0	19999	158.98553	158.98576	-159.2416	13.443933	2.1877804	0.06879669	2.4632945	1.9410776	1.038533	0.05571702	1.133283	0.8835062	452.88227558135986
6	49.06166	100.3967	123.49518	-122.63322	156.51402	96.26805	383.71173	39.703438	1000.0	1000.0	23999	171.93726	171.93735	-172.02502	12.128867	2.188088	0.06709453	2.3904192	1.9375746	0.87026024	0.04201494	0.9476656	0.7924969	549.7670259475708
7	105.95879	126.16697	316.9904	-11.084143	-18.757952	20.507143	13.130723	-53.82628	1000.0	1000.0	27999	177.71466	177.71513	-177.68054	11.858186	2.1901789	0.06637654	2.4081361	1.9406599	0.86468154	0.040297028	0.9910891	0.80090344	646.825029373169
8	187.97214	277.88892	659.96173	-56.841072	195.52316	232.35262	495.85605	-221.70102	1000.0	1000.0	31999	176.98766	176.98744	-176.817	10.243156	2.0988994	0.097534366	2.4307039	1.806194	0.7378765	0.04701095	0.87481445	0.66557217	743.0653278827667
9	126.98089	184.74483	420.37778	-48.932003	100.733086	102.29531	219.3698	-139.43958	1000.0	1000.0	35999	168.1328	168.13287	-167.79646	9.798973	1.958859	0.062207047	2.1836987	1.7275072	0.75017494	0.030954795	0.82840794	0.68646896	838.9476644992828
10	196.54099	109.11753	332.90448	28.865744	16.203413	146.74124	322.83145	-192.25717	1000.0	1000.0	39999	160.32655	160.32678	-159.86806	10.316758	1.9495311	0.060830027	2.1682935	1.7407103	0.79221517	0.033849083	0.86052215	0.7129645	934.776805639267
11	349.53958	163.54135	522.9987	115.40613	299.3967	173.85211	560.40424	-37.11049	1000.0	1000.0	43999	151.49593	151.49602	-151.01956	10.326731	1.8723387	0.09224549	2.1926694	1.5140727	0.7256174	0.032653064	0.8274738	0.6560985	1031.1727917194366
12	460.99106	173.75746	728.52637	249.20097	353.1946	225.46756	598.62103	-3.6813586	1000.0	1000.0	47999	141.06516	141.0653	-140.56758	10.707364	1.7214631	0.07124172	2.0121405	1.4262177	0.726226	0.024716256	0.8224349	0.67252964	1126.8155500888824
13	224.53194	266.07834	491.5188	-217.24239	233.08081	178.56082	435.7034	-101.06129	1000.0	1000.0	51999	132.44518	132.4452	-131.91544	11.358268	1.6782112	0.066386044	1.969437	1.4588939	0.77046937	0.029315973	0.8432726	0.72335744	1222.93368268013
14	181.1442	182.89876	454.9268	-4.3856974	148.80435	130.72375	313.6284	-45.024323	1000.0	1000.0	55999	125.26208	125.26199	-124.67682	11.970513	1.6822915	0.06948049	1.9297572	1.4622184	0.8533877	0.043822795	0.95486355	0.7403781	1318.8065602779388
15	192.85052	23.8517	230.83331	166.47888	136.15103	74.60661	261.92422	60.90865	1000.0	1000.0	59999	120.65378	120.6536	-120.147125	12.003099	1.6785945	0.07116957	1.9560311	1.4135826	0.80722433	0.034677465	0.93237424	0.7395092	1414.7081446647644
16	408.28088	174.17181	692.5026	227.37111	68.629814	90.905304	298.5838	-10.447454	1000.0	1000.0	63999	116.28656	116.28682	-115.63658	11.791781	1.682067	0.06905882	1.9321666	1.4543111	0.8387956	0.0357227	0.9155626	0.77531254	1510.8131663799286
17	400.53265	280.49713	828.75165	121.14927	828.2877	80.88459	947.2262	729.57904	1000.0	1000.0	67999	112.67195	112.67232	-111.902985	14.381252	1.6825957	0.072128505	1.9366146	1.430322	0.9580674	0.040741373	1.0771006	0.8703791	1606.1322915554047
18	443.8672	241.37743	801.19495	169.69124	167.72064	183.52843	409.38898	-211.29556	1000.0	1000.0	71999	110.51344	110.51307	-109.80839	14.898561	1.6782972	0.07137982	1.9593487	1.4201394	0.9445627	0.038261253	1.0343381	0.857502	1700.6363728046417
19	235.52002	247.33432	521.8143	-145.54808	419.472	373.65652	945.9312	18.020678	1000.0	1000.0	75999	108.36266	108.36225	-107.70032	13.412066	1.6774126	0.06767938	1.957962	1.4173697	0.8528128	0.043112166	0.95502687	0.73568124	1794.8386511802673
20	413.87274	292.01416	823.34753	86.90878	340.5347	109.54259	523.71747	82.71458	1000.0	1000.0	79999	103.80074	103.80044	-103.13933	12.84665	1.6775424	0.06620749	1.8768276	1.4644661	0.77461064	0.02839655	0.8308367	0.70355976	1890.6897728443146
21	317.43973	368.10464	680.6309	-286.33145	385.4378	335.33426	954.6478	-140.21158	1000.0	1000.0	83999	98.4026	98.40244	-97.66535	13.337824	1.6831331	0.07091896	2.012618	1.4433208	0.79347146	0.040873393	0.87277234	0.6985514	1987.2344624996185
22	526.34106	160.8256	776.4974	360.97778	544.2593	251.21092	1058.7073	-17.14808	1000.0	1000.0	87999	94.30636	94.30589	-93.49614	14.170363	1.6793584	0.07009605	1.9661179	1.4700845	0.81023926	0.03540398	0.92148626	0.74090403	2082.9137210845947
23	798.2087	395.62115	1115.0	120.80284	525.10657	407.92297	1111.3832	-245.365	1000.0	1000.0	91999	89.71193	89.71174	-88.90938	14.587918	1.6715987	0.070604794	1.9268074	1.4168743	0.8135096	0.052705567	0.9969631	0.69600034	2178.830340862274
24	826.3871	208.93723	1165.6698	601.6643	742.4125	170.49438	907.69934	385.37448	1000.0	1000.0	95999	88.60587	88.60585	-87.761215	14.80229	1.6701568	0.07016232	1.9120224	1.4219307	0.88513166	0.035661142	0.97856116	0.8066238	2273.54599404335
25	657.1896	221.92087	1028.1299	440.7214	633.95374	310.07745	1194.4838	75.93952	1000.0	1000.0	99999	87.91975	87.91975	-87.03975	15.146443	1.6709404	0.0705591	1.8957194	1.4300612	0.9134864	0.028263038	0.9740345	0.8300707	2369.480246782303
26	573.6516	274.76535	924.979	296.29733	705.9663	145.83543	920.9071	439.8039	1000.0	1000.0	103999	87.75651	87.75644	-86.90589	15.361247	1.670156	0.0639564	1.8837136	1.4278193	0.8913105	0.024023602	0.96709394	0.83088636	2465.310083389282
27	676.83325	254.17055	1047.2113	401.74158	447.93927	192.98393	670.7054	-47.72476	1000.0	1000.0	107999	86.95256	86.95234	-86.1552	14.499326	1.6693733	0.067100205	1.9186417	1.430464	0.83055377	0.033132367	0.89969224	0.76888883	2560.832291841507
28	468.6115	338.8062	818.32074	19.470415	425.59528	226.96512	935.0371	-2.673174	1000.0	1000.0	111999	87.50572	87.50578	-86.695114	14.733814	1.6700177	0.07006324	1.9352254	1.4403028	0.843771	0.03944972	0.944686	0.7463112	2656.2555487155914
29	999.60803	405.24954	1618.197	579.11884	819.8976	275.2352	1294.7394	450.85928	1000.0	1000.0	115999	86.32892	86.32852	-85.44895	14.889334	1.672375	0.07271244	1.9205518	1.3401185	0.8523478	0.037603643	0.9767573	0.7828111	2751.037077665329
30	796.44666	167.69193	999.3883	557.92346	583.5677	507.91382	1657.0732	142.6812	1000.0	1000.0	119999	87.52862	87.52849	-86.64553	16.202042	1.6672778	0.07086237	1.9060452	1.4228636	0.88997394	0.03485857	0.97652024	0.82398826	2846.609433412552
31	1405.397	188.72258	1698.8484	1177.6542	1264.9749	269.36462	1639.9689	777.7636	1000.0	1000.0	123999	88.02631	88.02531	-87.099594	15.895972	1.6717217	0.06644099	1.9370786	1.4089123	0.8800482	0.03912614	0.9654833	0.79776895	2941.2100415229797
32	837.60156	628.6904	1583.1381	-64.817154	1294.3683	136.37836	1487.4904	1092.1132	1000.0	1000.0	127999	88.39232	88.39249	-87.40783	15.583097	1.6689519	0.06740611	1.9216329	1.4497944	0.90820414	0.028011272	0.9764721	0.8316517	3036.356134414673
33	915.50977	347.2827	1322.0643	470.15723	622.58234	311.63712	1194.8752	107.48987	1000.0	1000.0	131999	87.85755	87.85717	-86.85876	15.736411	1.669113	0.07198316	1.9240866	1.3818865	0.89403564	0.040168785	0.989424	0.7719453	3133.029221534729
34	1063.7949	155.3269	1291.0864	883.13855	1124.3444	173.41531	1429.0475	782.1398	1000.0	1000.0	135999	87.1656	87.16555	-86.242805	15.446205	1.6708481	0.06784679	1.9288114	1.4466177	0.833195	0.02704517	0.9048294	0.75513715	3229.212697505951
35	1165.1763	349.0791	1439.5593	571.035	1015.5807	293.56863	1371.82	432.1523	1000.0	1000.0	139999	86.86242	86.86236	-85.92963	16.001274	1.6699916	0.07038098	1.9213465	1.429687	0.8587976	0.027911702	0.9616823	0.7973611	3324.3715794086456
