Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
1	-8.335762	122.38999	196.15714	-125.38102	78.20363	70.94964	209.55138	-31.20983	1000.0	1000.0	3999	2.0842927	2.0833383	-1.8805801	3.5084302	0.40828034	0.16065922	0.83976597	0.1851539	2.011399	0.47311687	2.9338958	1.1966885	73.90476036071777
2	-140.47952	212.65044	219.25804	-313.84894	-61.463387	105.85769	90.5413	-318.92618	1000.0	1000.0	7999	26.84298	26.842638	-27.374191	12.308017	1.0860945	0.24631412	1.7533519	0.5600975	1.7941662	0.17860083	2.1966152	1.4742818	169.11675262451172
3	-9.0928955	130.57439	202.13559	-155.64029	-101.48705	118.28221	64.2881	-368.0796	1000.0	1000.0	11999	77.7329	77.732346	-78.69597	16.122961	1.8744425	0.21209495	2.2864757	1.2511473	1.5041674	0.14099002	1.80566	1.2309709	265.3711152076721
4	57.59942	195.25858	321.7812	-214.51314	250.28471	69.228424	356.99048	144.72742	1000.0	1000.0	15999	128.0402	128.03922	-128.50468	14.737152	2.1304505	0.056443017	2.3177698	1.8817976	1.2273214	0.09514656	1.4735658	1.0645748	362.76958656311035
5	249.1822	97.35907	394.95966	124.34528	238.71704	275.83618	511.94113	-504.08676	1000.0	1000.0	19999	158.50018	158.49986	-158.55579	12.375857	2.1379702	0.05910367	2.3421826	1.8972152	1.0309017	0.046521444	1.1030777	0.91835934	460.1326479911804
6	113.51822	189.63832	341.18585	-117.016594	169.6498	161.21472	439.01828	-27.945469	1000.0	1000.0	23999	168.93523	168.93492	-168.88705	9.367202	2.139402	0.06036596	2.367031	1.9394574	0.88365114	0.05509693	1.0141289	0.769166	557.30792760849
7	151.70903	197.40305	368.90295	-106.65373	93.73964	70.18332	210.93788	-27.926712	1000.0	1000.0	27999	173.07024	173.0711	-173.06676	9.696481	2.1396549	0.059667107	2.404538	1.9294324	0.9076587	0.062242985	1.056929	0.7826282	653.7813827991486
8	141.71979	133.6023	278.11588	-25.696049	114.67141	133.8276	366.7607	-132.83475	1000.0	1000.0	31999	177.35513	177.35506	-177.42784	9.588309	2.1292882	0.060388003	2.3299077	1.9031129	0.77823216	0.049922444	0.9108712	0.6847792	749.3600363731384
9	47.996647	140.4987	183.56218	-180.77272	31.252686	33.453934	93.25132	-33.341152	1000.0	1000.0	35999	172.84415	172.84422	-172.66525	8.802401	2.105726	0.06155833	2.338796	1.8862027	0.7503158	0.028853524	0.8161949	0.68970233	846.6680178642273
10	124.89244	56.989	167.21812	26.747997	225.65646	43.252865	306.67984	167.48929	1000.0	1000.0	39999	167.90372	167.90398	-167.62666	7.519288	1.9926624	0.09093498	2.234969	1.696322	0.7264912	0.031082926	0.8145034	0.66135657	943.3830072879791
11	306.7996	112.38821	450.793	137.23834	297.44598	130.44962	672.3009	150.34555	1000.0	1000.0	43999	157.08167	157.08195	-156.685	6.8055773	1.724793	0.084718496	2.0090685	1.4716116	0.7140477	0.025881069	0.7898548	0.6534411	1041.318526983261
12	383.31555	173.2994	671.6806	233.95247	68.82691	2.9042284	73.261475	64.38873	1000.0	1000.0	47999	146.86714	146.86745	-146.43417	6.7826023	1.6520537	0.06491265	1.8964596	1.4370525	0.764911	0.02441634	0.833892	0.68749815	1138.9768705368042
13	245.13321	97.0437	405.6505	147.61508	87.17599	6.1346207	95.46152	75.07345	1000.0	1000.0	51999	138.39793	138.39816	-137.90628	6.458585	1.6463355	0.06571253	1.893152	1.4119062	0.7563055	0.03365055	0.8228192	0.69151694	1235.6008625030518
14	280.79065	87.52604	391.98624	163.36455	608.8949	51.372776	695.492	515.2852	1000.0	1000.0	55999	128.50262	128.50285	-127.97039	6.5458994	1.5869341	0.07160679	1.8246167	1.3144584	0.74846643	0.035358943	0.86774355	0.6780755	1332.8217823505402
15	438.83728	154.86519	579.5161	179.92795	347.8746	33.708595	413.9243	280.17877	1000.0	1000.0	59999	118.86538	118.86513	-118.29145	6.795947	1.4737635	0.082038105	1.8055158	1.1845822	0.75196344	0.045729097	0.84325904	0.66514677	1430.1653866767883
16	365.1488	47.413994	437.62378	307.95096	312.8418	40.88557	348.83542	217.35037	1000.0	1000.0	63999	110.80323	110.80359	-110.27081	7.7874737	1.4399898	0.06801049	1.6981322	1.1923807	0.79671013	0.03173296	0.8682478	0.7449093	1527.5541985034943
17	414.87677	71.4413	537.49146	362.5834	470.2273	92.30337	610.71014	319.10666	1000.0	1000.0	67999	104.06223	104.06189	-103.45228	8.302729	1.439737	0.07049199	1.7031671	1.2120832	0.82402325	0.022511011	0.90433145	0.7817366	1625.2699842453003
18	424.32672	117.94051	590.65326	300.6299	422.59293	221.4973	730.46045	130.45421	1000.0	1000.0	71999	98.03048	98.03021	-97.374405	8.280523	1.4413615	0.068931356	1.745849	1.1947012	0.82675254	0.03579839	0.9082406	0.74397117	1722.6640861034393
19	391.99567	136.5851	603.7023	267.8926	-21.855595	103.071144	199.79521	-136.54764	1000.0	1000.0	75999	95.09401	95.09404	-94.42326	8.479855	1.4388736	0.0733396	1.7296165	1.19353	0.8486462	0.032406684	0.9192807	0.7741193	1820.2077622413635
20	186.24352	190.45074	445.38504	-69.51596	306.26846	98.97588	504.45386	156.67853	1000.0	1000.0	79999	90.57894	90.57892	-89.91871	8.189243	1.4411889	0.069430634	1.6826398	1.1942859	0.82815576	0.024544006	0.90458095	0.77181983	1918.0192794799805
21	406.8026	46.876217	484.84976	361.23145	401.97418	85.16563	557.44006	306.03934	1000.0	1000.0	83999	87.33685	87.33686	-86.67802	7.872593	1.4391857	0.07136888	1.7044638	1.1746068	0.8160787	0.046414617	0.91762096	0.72724855	2016.3301358222961
22	554.6983	267.56555	900.63184	282.44327	432.44498	34.90535	484.0123	381.13654	1000.0	1000.0	87999	84.65671	84.65643	-84.06948	8.222019	1.4399779	0.07414283	1.7004102	1.2078886	0.76565087	0.027974496	0.8371083	0.7055222	2113.132777929306
23	386.65265	220.45245	705.0668	88.36409	484.31226	161.96803	632.084	37.87616	1000.0	1000.0	91999	81.94869	81.94858	-81.32803	8.849449	1.4384162	0.06816987	1.704439	1.2052752	0.7926252	0.030635765	0.87844527	0.7137784	2210.2133688926697
24	540.89044	140.4909	757.3342	376.8888	583.43274	70.40913	709.8282	486.3467	1000.0	1000.0	95999	79.229485	79.22894	-78.59631	8.860417	1.4413623	0.075433336	1.6925201	1.1744174	0.79227114	0.038134392	0.93191636	0.72280574	2307.94132232666
25	641.4271	167.05396	831.01764	376.77817	373.1524	135.6444	525.66003	84.104195	1000.0	1000.0	99999	77.06543	77.06519	-76.48095	8.845257	1.4405769	0.0675279	1.7186663	1.2051681	0.8064265	0.019317428	0.8519715	0.7616456	2405.5087065696716
