Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	48.161797	193.18361	222.18701	-256.12558	23.208115	38.938583	114.36028	-32.35438	1000.0	1000.0	3999	17.39639	20.723322	134.23549	-35.86322	17.396338	20.722315	132.68512	-36.674324	-21.349098	3.9593232	3.4163017	0.2563365	3.4963448	0.19563328	5.419331	3.2261174	11.436543	1.2843775e-07	69.86822247505188
2	7.0408325	85.192535	142.89977	-84.719765	13.679293	3.3252637	15.691297	6.9152107	1000.0	1000.0	7999	124.66449	51.682236	422.9113	-2.7713215	124.66475	51.68136	417.02307	-0.71883863	-132.87619	20.111954	3.4087424	0.017644173	3.4671319	3.3424668	11.722565	1.0596611	15.786083	8.684001	158.6677520275116
3	131.07344	178.03293	312.64236	-161.62543	-76.44608	61.59417	-14.937357	-238.30515	1000.0	1000.0	11999	250.3037	59.770477	487.41165	105.204765	250.30386	59.76668	489.72144	95.13667	-258.37964	36.05992	3.397423	0.017241275	3.4482913	3.3174922	13.972297	1.3384082	19.275991	10.666849	249.51095008850098
4	3.379858	177.80722	203.9801	-269.66196	256.04346	203.79974	530.7698	-79.484375	1000.0	1000.0	15999	327.1623	33.739967	460.0572	193.43565	327.163	33.735466	457.36026	194.24345	-331.8034	32.439995	3.3780024	0.019522125	3.4387865	3.2900345	11.2423725	1.4564381	16.453735	8.035522	342.01635813713074
5	125.32547	187.85274	414.2162	-106.59571	433.93716	162.53735	656.16187	102.13671	1000.0	1000.0	19999	334.37918	23.574934	429.91797	213.58421	334.3796	23.574202	431.77988	219.90059	-336.81656	22.19857	3.3629544	0.018892195	3.4246697	3.294267	7.5987234	0.82649016	10.850237	5.708129	434.0045154094696
6	-17.168562	141.32379	188.4224	-196.06436	-72.76104	56.793274	34.364937	-152.18916	1000.0	1000.0	23999	308.73862	19.321678	384.9453	228.55946	308.7387	19.317478	382.1426	227.79982	-310.22574	14.575477	3.3514924	0.019255264	3.4275746	3.271257	5.6752176	0.46041152	7.323659	4.533462	526.3901474475861
7	94.81529	289.0979	366.19278	-370.753	161.84052	199.63875	532.7954	-39.65113	1000.0	1000.0	27999	285.686	20.60333	386.5361	165.37662	285.686	20.59813	378.84238	165.75919	-287.09918	15.189793	3.3593266	0.021354629	3.4353886	3.291965	5.05345	0.36901912	6.602796	4.069726	618.4062433242798
8	244.75624	389.91278	738.2812	-317.08575	195.00243	194.33296	636.6291	-89.76719	1000.0	1000.0	31999	256.34418	19.51925	352.2383	137.40048	256.34445	19.517273	348.45633	141.53413	-257.2477	13.618458	3.3420005	0.02153953	3.4156892	3.2546954	4.4141874	0.24624348	5.5492496	3.6546104	710.5869760513306
9	244.17558	193.48802	465.6062	8.351008	95.18092	94.651115	353.17773	-20.239868	1000.0	1000.0	35999	230.7655	19.122978	335.50256	118.8905	230.76566	19.123795	332.54697	120.65181	-231.7948	13.315883	3.3339334	0.019730035	3.406318	3.2649271	4.3055253	0.22234368	5.257274	3.598228	802.2093505859375
10	137.26857	321.59888	490.13275	-319.56436	106.141235	276.32037	546.9827	-327.14374	1000.0	1000.0	39999	212.1559	20.999575	317.45264	102.98469	212.15552	21.000134	318.1851	105.36802	-213.18419	12.789402	3.321957	0.020595605	3.391416	3.2405362	4.236905	0.22224072	5.3227267	3.3873851	893.734034538269
