Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
1	68.183624	125.815056	277.6726	-43.733006	79.88906	343.4133	554.3002	-611.92883	1000.0	1000.0	3999	10.296403	17.583183	123.8824	-37.25231	10.296122	17.5824	123.2834	-35.943356	-12.965492	2.4794958	3.4272273	0.2606551	3.4941752	0.19611043	4.7967844	3.0787704	11.006201	2.3092029e-07	71.40722990036011	0.0
2	-55.52012	176.50024	215.7547	-278.51102	350.08197	281.73264	907.68646	-16.039778	1000.0	1000.0	7999	118.09801	69.42677	432.7656	-14.786223	118.09913	69.42463	429.1252	-14.504654	-128.37648	21.636898	3.399086	0.018725734	3.4631205	3.3215647	13.490042	2.2836854	18.602036	8.081019	163.28553009033203	0.0
3	150.49042	268.15823	491.9991	-162.47363	220.96066	332.65314	793.1205	-222.77725	1000.0	1000.0	11999	277.93707	76.02566	544.4939	107.97701	277.93784	76.02186	549.65753	107.80271	-286.8032	42.310444	3.3902574	0.01657722	3.4413044	3.3264234	15.164928	1.2536118	19.560516	11.533348	255.97981667518616	0.0
4	395.9301	410.47528	664.8703	-311.90717	-64.12874	519.2331	618.08344	-1234.2515	1000.0	1000.0	15999	333.89236	54.26532	719.3913	208.84789	333.8928	54.263885	713.5894	213.0999	-338.65344	34.51494	3.3815732	0.019838601	3.4424295	3.301598	11.535613	1.1076518	15.428401	8.564258	350.17713499069214	0.0
5	445.55453	190.28154	677.46606	160.30928	186.89139	300.2038	950.0482	-183.90778	1000.0	1000.0	19999	362.0562	38.58945	547.8633	257.63312	362.0572	38.57918	546.9376	258.6889	-366.42484	36.73051	3.3731313	0.018236458	3.4323065	3.3032336	10.799334	1.2302908	13.999232	7.856577	444.19515585899353	0.0
6	29.75546	165.48132	261.7304	-180.92876	9.527835	144.97563	241.2001	-224.2117	1000.0	1000.0	23999	360.55856	27.904173	504.28223	269.61612	360.55887	27.900627	500.1475	269.37564	-362.51913	21.65144	3.356106	0.019881867	3.4171486	3.2725413	7.2361064	0.73165697	10.017047	5.78666	538.2485475540161	0.0
7	132.50662	590.5007	1116.2793	-368.2841	242.78113	181.13986	675.76184	-63.46706	1000.0	1000.0	27999	333.28613	25.586555	505.20328	230.74525	333.28668	25.580755	501.6824	230.54141	-334.87222	23.471127	3.3577533	0.02014114	3.427819	3.283717	6.465733	0.4068737	8.107894	5.228303	632.0266234874725	0.0
8	223.15402	475.04303	627.18	-584.40753	20.67254	311.89157	633.26306	-460.88376	1000.0	1000.0	31999	305.36432	26.426556	466.23917	199.39116	305.3645	26.417118	467.51508	198.99268	-306.6698	26.51923	3.3475707	0.019065851	3.4105363	3.269283	6.068271	0.2988189	7.2674484	5.0828104	725.7688324451447	0.0
9	114.24219	84.705444	225.69353	-8.315417	420.91437	186.02739	646.8847	82.9479	1000.0	1000.0	35999	276.79028	25.611803	420.03128	184.84845	276.79083	25.60219	419.93912	184.88448	-277.8427	23.896248	3.324467	0.02238602	3.3915064	3.2253535	5.671834	0.32274082	7.0760837	4.6371984	820.2434449195862	0.0
10	92.006165	233.55495	264.07574	-307.9373	19.119732	236.05072	496.69855	-387.84598	1000.0	1000.0	39999	247.50288	24.828178	404.87518	127.20799	247.50308	24.823061	405.63925	130.19144	-248.30434	22.447693	3.3063033	0.02110547	3.3730102	3.2049675	5.1577325	0.27856243	6.5061693	4.3283706	913.7096269130707	0.0
11	210.0339	220.51219	431.15695	-18.646778	57.73838	125.60459	294.85715	-140.61137	1000.0	1000.0	43999	220.82452	26.315039	386.70917	94.715935	220.82428	26.319084	386.6212	93.31996	-221.62875	24.261593	3.273107	0.025735289	3.3514316	3.1807544	5.1020093	0.2856438	6.3040223	4.1974454	1007.3900911808014	0.0
12	255.71716	264.9314	689.99225	-8.544928	91.923195	217.74101	493.99277	-229.0297	1000.0	1000.0	47999	199.04944	29.018625	387.3982	66.37574	199.04944	29.02118	386.98505	64.295074	-199.8354	27.01137	3.2429008	0.024549793	3.315925	3.1431653	5.1609006	0.30096915	6.2215624	4.178386	1101.319581747055	0.0
13	479.91537	173.80763	668.44275	280.1639	238.68753	238.15132	620.02454	-148.35674	1000.0	1000.0	51999	181.17558	30.497414	383.26694	41.043736	181.17519	30.503317	381.87692	41.59462	-181.97398	27.57938	3.2274294	0.025153488	3.3109672	3.1180859	5.0669265	0.313219	6.325459	4.150411	1195.4984669685364	0.0
14	332.93423	142.19402	515.89215	128.73996	677.9697	236.65552	1148.8075	331.26562	1000.0	1000.0	55999	167.36119	31.398859	351.29483	37.819912	167.36073	31.402973	347.9188	36.44602	-168.23282	27.473738	3.2137916	0.026153054	3.3022397	3.1264586	4.9861975	0.2962126	6.079725	3.978991	1288.1519680023193	0.0
