Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-31.93187	100.581604	107.82377	-176.33519	131.01979	108.78497	324.4144	-45.259285	1000.0	1000.0	3999	11.601231	14.96644	95.356575	-15.607275	11.60114	14.967866	95.13028	-15.538191	-12.7515545	2.1048002	1.5799779	0.90143424	2.5823052	0.18462715	4.4254417	2.2762747	7.7953753	1.3024513e-07	76.71083331108093
2	-61.704193	123.32468	82.11805	-213.26712	-70.66182	6.95155	-57.41201	-80.98855	1000.0	1000.0	7999	87.35448	44.67347	303.72165	2.877891	87.35385	44.67377	306.07062	2.9900684	-91.23117	11.499962	2.808036	0.19658054	3.1030421	2.2846608	8.902719	1.4990423	13.445915	5.695995	177.2033998966217
3	75.00314	94.2411	221.99121	-38.328186	-73.35934	49.931564	30.181879	-111.271484	1000.0	1000.0	11999	202.7942	61.074833	409.81174	67.98766	202.79396	61.074898	408.54813	69.842964	-206.69931	24.170128	2.8531826	0.10484321	3.071413	2.548914	11.09634	0.9648013	14.36565	8.508281	283.28268003463745
4	64.76322	185.91286	279.33353	-218.14891	423.46344	304.18155	712.5868	-63.870716	1000.0	1000.0	15999	256.61182	50.16745	420.152	115.31327	256.6124	50.167698	418.28455	112.17195	-257.5102	19.223305	2.6921422	0.07556137	2.900913	2.3955708	8.52907	0.86192757	11.302009	6.2956476	390.4608941078186
5	153.39224	233.71161	486.71597	-122.42313	382.9002	116.802475	537.6813	216.97165	1000.0	1000.0	19999	275.13843	34.836567	398.93723	170.08542	275.13855	34.83638	400.03543	171.53505	-276.15164	17.21223	2.7524414	0.10084444	3.0234735	2.452571	7.484418	0.5204732	9.713963	5.795129	496.37688088417053
6	62.026093	278.26242	336.53522	-389.24463	354.62738	205.87144	631.8837	-171.1258	1000.0	1000.0	23999	287.1838	23.960243	388.79922	194.7923	287.1844	23.957132	396.51385	194.64946	-287.6683	14.190484	2.5240989	0.12708317	2.8469226	2.1546552	6.310092	0.34940052	8.025157	5.2833996	603.0471811294556
7	127.43522	126.80552	278.71124	-68.83939	22.576162	76.0233	190.64561	-35.67718	1000.0	1000.0	27999	291.72543	31.172848	642.1316	214.97354	291.7247	31.173191	640.96985	214.8864	-292.2799	16.160593	2.346794	0.16261296	2.767094	1.8748761	5.9810877	0.64569354	8.547664	4.6290894	710.4818263053894
8	225.11966	71.01809	312.95255	152.65086	-35.848602	31.831268	1.414326	-96.781204	1000.0	1000.0	31999	294.07016	53.502064	692.1123	193.57027	294.07047	53.502037	691.00653	194.01892	-294.23984	13.364784	2.1316917	0.2381629	2.6486652	1.6735946	5.3462334	0.71228427	8.010184	4.0545173	817.5003287792206
9	164.44695	243.86955	509.95215	-163.41365	358.73077	261.84314	745.42267	-97.85744	1000.0	1000.0	35999	276.21457	77.36444	819.4834	161.58443	276.21494	77.36525	819.1737	160.93004	-276.05563	13.427705	1.7430663	0.17595671	2.1677077	1.2841727	4.4353504	0.4480655	6.1114144	3.448748	924.2560877799988
10	168.41913	33.829033	221.95517	131.61871	158.22089	27.67606	227.49666	126.148476	1000.0	1000.0	39999	247.25282	78.52585	766.01697	134.844	247.25243	78.52695	768.0257	136.9994	-246.69307	9.739217	1.2157366	0.2167817	1.6765331	0.7232169	3.8907223	0.30507168	5.058709	2.9215465	1031.4977133274078
