Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
1	-9.786476	163.24634	262.8878	-147.17809	204.88379	204.76543	763.3993	11.723748	1000.0	1000.0	3999	11.61089	14.660811	77.36632	-16.216753	11.610817	14.662134	78.21848	-16.396978	-12.7655	3.39406	1.5433791	0.85507315	2.525416	0.182854	4.4002194	2.2213223	7.6219625	1.2166478e-07	78.673006772995	1.2
2	96.62096	179.8037	302.94867	-97.72331	-31.406284	163.40488	166.07767	-224.55649	1000.0	1000.0	7999	66.27812	29.139832	190.0394	5.8294888	66.27842	29.14042	191.52007	5.3826585	-67.84636	7.5763865	2.2640429	0.22687975	2.7698798	1.7237954	6.2579083	0.62118787	9.484837	4.8009944	181.1981542110443	1.2
3	-81.96137	192.67287	153.05614	-381.54364	310.11478	151.82051	623.80273	105.89677	1000.0	1000.0	11999	146.3745	42.687912	284.89978	34.41177	146.37463	42.688786	282.31665	34.800354	-148.44406	13.8882265	2.6689384	0.19537503	3.0494874	2.126268	8.241051	0.85855496	11.081898	5.790198	284.9703142642975	1.2
4	229.84091	152.49603	418.00784	67.34026	159.55852	99.6146	331.1691	-3.8300388	1000.0	1000.0	15999	188.26794	33.54733	281.28253	91.4134	188.2682	33.54854	279.93774	89.45412	-188.19904	14.294317	1.9173392	0.22634	2.433645	1.4409617	6.167543	0.6037918	8.429781	4.8866153	388.82777190208435	1.2
5	70.49982	114.08292	236.15733	-84.7052	309.78085	94.40214	516.8441	207.60014	1000.0	1000.0	19999	186.90092	33.514874	278.5812	91.617516	186.90108	33.516304	277.59583	90.96273	-186.43137	13.142574	1.3872161	0.1890669	1.941824	1.0724546	5.2261386	0.310493	6.3803635	4.3066106	492.5580952167511	1.2
6	265.77667	107.63813	372.49323	92.8544	167.6736	208.63506	490.4295	-72.743996	1000.0	1000.0	23999	176.6077	35.206818	283.0539	76.1902	176.60762	35.208347	283.4271	73.78044	-176.11128	12.418136	1.240773	0.071623854	1.5156423	1.024503	5.0124493	0.2901497	6.219802	4.1748915	596.657201051712	1.2
7	179.50764	163.5328	323.5855	-96.50632	163.2042	73.42698	344.59915	59.88607	1000.0	1000.0	27999	159.97166	34.24539	276.80402	18.047447	159.97147	34.24593	277.86905	17.30403	-159.21594	12.046172	0.9778445	0.14093497	1.4227453	0.7122134	4.5460677	0.28688952	5.6649723	3.7594573	700.4416637420654	1.2
8	318.37503	79.52316	419.2004	197.18037	27.90235	81.493095	205.4641	-50.495323	1000.0	1000.0	31999	138.17818	34.07701	249.02153	-18.444315	138.17758	34.080307	248.39034	-22.593193	-137.4015	11.49401	0.7866129	0.048172615	0.99367523	0.6343696	4.22016	0.23441957	5.1630945	3.4632182	803.8672080039978	1.2
9	129.18004	89.23924	226.55643	-14.801768	350.90375	147.00911	469.18655	7.4813986	1000.0	1000.0	35999	120.0644	34.565887	225.59944	-43.510113	120.06425	34.56772	224.97195	-45.116116	-119.35372	10.62666	0.79021716	0.050965074	1.015931	0.6328464	4.1457553	0.22912015	5.048275	3.3844779	907.8701174259186	1.2
10	326.2561	102.04376	487.495	231.91034	169.40874	186.27113	366.25266	-69.036674	1000.0	1000.0	39999	105.42993	36.076885	213.7027	-51.412563	105.42942	36.07833	213.99629	-49.66986	-104.735214	9.427578	0.75322104	0.064454325	0.9879939	0.56089556	3.980409	0.24954677	4.9493012	3.1704738	1012.0089499950409	1.2
