Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-0.4581976	98.645706	79.980286	-168.44952	-60.242645	4.176558	-54.930885	-69.30079	1000.0	1000.0	3999	16.952713	21.721544	178.48763	-19.675451	16.953524	21.720865	178.51501	-19.248108	-19.451357	3.85024	2.005583	1.1150516	3.1594853	0.18563744	5.87662	3.851198	15.001697	2.1572774e-07	83.30717778205872
2	-124.390434	151.04747	46.64615	-357.235	-92.55593	136.05849	50.39929	-318.41617	1000.0	1000.0	7999	165.82864	79.33106	460.4606	0.7385693	165.82822	79.33099	457.89557	0.81625915	-174.9599	27.545687	3.1907237	0.08335465	3.3466718	2.937958	15.710137	1.0715857	19.02509	12.292568	189.66551566123962
3	-109.64635	80.70571	-12.491229	-212.90207	-58.863026	277.96344	460.53113	-550.9628	1000.0	1000.0	11999	340.60785	63.515537	551.0191	138.16759	340.60788	63.514393	547.294	141.0537	-346.35605	43.101852	3.181931	0.08904765	3.3236384	2.8607242	14.372191	1.3631774	18.108152	10.232303	298.2435646057129
4	-196.19078	159.08606	33.25716	-409.01752	141.3497	481.02673	889.489	-421.50366	1000.0	1000.0	15999	394.05136	41.322327	553.21606	274.50778	394.05176	41.32301	552.0719	270.5667	-395.42273	36.04962	2.6911178	0.14452663	3.0321739	2.3575284	10.102929	1.3244196	14.604062	7.674081	407.07655692100525
5	-95.523506	283.9087	225.1564	-461.80118	133.97836	106.79781	200.32486	-182.61594	1000.0	1000.0	19999	386.3626	44.757683	545.43866	274.74466	386.36243	44.757072	543.15393	274.0274	-386.34598	25.744919	2.2103136	0.21273969	2.749996	1.7621074	7.869919	0.7449287	10.683307	6.1513395	515.5847618579865
6	11.872826	174.04869	236.88289	-192.56064	80.00987	66.41248	198.14754	-39.28319	1000.0	1000.0	23999	353.29388	56.113293	509.35226	228.09975	353.29376	56.116135	509.02493	227.28708	-352.76276	20.340307	1.7446865	0.20100954	2.186715	1.278159	6.4180536	0.48439512	8.347061	4.958997	625.2622232437134
7	155.35402	62.70996	244.06763	68.203545	32.61927	166.05594	351.5733	-185.80809	1000.0	1000.0	27999	313.4318	55.51259	459.74628	176.25829	313.4308	55.51884	464.55368	180.38179	-312.70932	17.9783	1.3589352	0.08445305	1.6497991	1.0677681	5.592985	0.36188245	7.195124	4.5698967	734.4753220081329
8	71.00741	242.89513	376.85934	-204.71857	106.58701	73.39288	322.4471	65.85845	1000.0	1000.0	31999	270.66107	49.13942	425.7273	139.25453	270.6601	49.145264	426.57065	141.4359	-269.85724	14.461657	1.0266587	0.15053044	1.541229	0.75510484	4.8627205	0.35560668	6.8485174	3.9067276	844.1807732582092
9	218.81233	188.38458	541.49976	79.666824	146.01183	62.286964	210.43034	26.014994	1000.0	1000.0	35999	226.57417	45.76549	389.46027	106.9872	226.57382	45.770504	388.87827	107.00465	-225.75432	11.717832	0.8129989	0.065663084	1.1035688	0.60753137	4.2936277	0.29498744	5.553602	3.526716	954.930139541626
10	287.90152	70.26362	367.95935	201.82649	151.06522	25.88244	211.67783	126.87514	1000.0	1000.0	39999	189.62152	41.10536	326.63394	77.80162	189.62114	41.10867	327.59146	77.89077	-188.86009	10.439008	0.64646435	0.045988545	0.8552834	0.5073113	3.9080298	0.24615523	4.9833364	3.1322734	1063.7516400814056
