Epoch	AverageTestEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet0	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
1	-287.46527	27.278278	-259.08157	-332.47043	541.7896	197.41473	685.45807	140.77061	1000.0	1000.0	3999	0.08623632	0.08620777	-0.13641459	0.5387129	0.22492301	0.0260421	0.34161827	0.1847801	1.482961	0.32555914	2.5194447	0.97037244	64.09719491004944
2	-300.2162	96.532295	-205.71991	-454.23392	861.8211	379.94592	1109.3765	77.11518	1000.0	1000.0	7999	7.240406	7.2403555	-7.6632743	2.1438124	0.35514733	0.028786762	0.4466762	0.24596098	1.4061829	0.24884798	2.508284	1.1070837	145.83288383483887
3	145.9696	670.47266	1236.8136	-410.2889	1425.4097	419.29813	1824.0974	648.6854	1000.0	1000.0	11999	19.52374	19.523825	-20.06553	3.1627038	0.39216462	0.023921246	0.48584256	0.31763512	1.4923699	0.10807159	1.6462703	1.2483394	229.83797097206116
4	917.6299	548.2699	1682.9974	139.55513	1694.4451	194.9505	2133.5999	1423.9237	1000.0	1000.0	15999	31.052353	31.052202	-31.447517	3.5535083	0.41040394	0.01960533	0.50257117	0.34364802	1.345104	0.059508584	1.4456003	1.232479	313.2841303348541
5	2006.6294	79.98701	2134.9805	1915.3755	2241.9883	114.78322	2380.6243	1984.5295	1000.0	1000.0	19999	44.663105	44.663197	-44.89769	4.6579175	0.4124936	0.021552345	0.5319187	0.3475918	1.4759866	0.06189748	1.6193705	1.3473274	397.3820860385895
6	2252.2764	130.2944	2433.0374	2123.5847	2501.7063	66.15908	2602.0544	2418.7454	1000.0	1000.0	23999	62.268696	62.26884	-62.415043	6.171243	0.44654658	0.025169782	0.5461403	0.36587486	1.5380652	0.03705308	1.6298455	1.4423487	482.09179949760437
7	2397.653	42.6359	2459.9624	2349.1292	2470.1904	395.97736	2654.4502	1289.7484	1000.0	1000.0	27999	81.96214	81.96192	-82.04898	7.304096	0.48847705	0.028314536	0.62594306	0.3866349	1.529067	0.039453715	1.6780238	1.4531417	565.402990102768
8	2243.2573	519.06976	2701.1992	1361.3997	2734.0813	58.519966	2822.3213	2638.035	1000.0	1000.0	31999	101.22933	101.22913	-101.2562	7.9910126	0.56861997	0.046845198	0.78985256	0.4294211	1.4202822	0.12422455	1.6919576	1.2348858	649.1066401004791
9	2607.9238	75.33607	2695.1057	2491.2725	2841.58	70.89009	2972.9524	2769.2522	1000.0	1000.0	35999	119.52318	119.52301	-119.48045	7.903084	0.59011215	0.037103403	0.7962333	0.48741427	1.3253937	0.036185406	1.4224269	1.2510617	732.0907511711121
10	2699.6108	73.193245	2799.872	2593.1033	2895.0933	51.705193	2973.0725	2803.8384	1000.0	1000.0	39999	135.88026	135.8801	-135.766	8.161771	0.5899063	0.03428806	0.7420828	0.48074457	1.336022	0.041850545	1.4291439	1.2250108	816.5133409500122
11	2644.1206	57.15581	2706.6753	2565.9192	2908.474	53.409218	3002.3574	2803.5906	1000.0	1000.0	43999	150.89755	150.89732	-150.71175	8.820675	0.5909093	0.033643033	0.7445282	0.48397514	1.3836763	0.041416842	1.5041276	1.3048718	900.7115666866302
12	2910.099	53.748795	2977.3171	2856.7996	3025.365	63.073143	3104.7188	2929.745	1000.0	1000.0	47999	164.4392	164.43912	-164.18303	9.373133	0.5902654	0.033866167	0.743815	0.4940972	1.4429578	0.047390997	1.5427592	1.3534956	985.1687626838684
13	2916.2395	65.354065	3017.8845	2845.0242	3199.9429	55.24504	3281.8335	3109.3904	1000.0	1000.0	51999	177.2355	177.23524	-176.95026	9.813	0.59015197	0.03348999	0.73019713	0.47416508	1.4732935	0.041799728	1.5870873	1.3772402	1070.7100973129272
14	2985.4104	94.67215	3142.1025	2905.9453	3207.0486	44.419247	3276.9685	3139.0696	1000.0	1000.0	55999	188.93666	188.93655	-188.6293	10.278447	0.5895593	0.03411599	0.7903848	0.47841397	1.4731739	0.0352443	1.5715781	1.4067284	1154.7978179454803
15	3048.0464	43.840004	3106.4116	2986.173	3243.8647	81.90456	3382.152	3128.6965	1000.0	1000.0	59999	199.7139	199.7136	-199.37044	10.501066	0.59206164	0.033011537	0.73729694	0.4918483	1.4946761	0.030389536	1.610713	1.4223566	1238.0837585926056
16	3152.9004	91.348526	3258.2852	3007.2761	3383.5781	79.70952	3569.0623	3269.7207	1000.0	1000.0	63999	209.79962	209.79958	-209.44022	10.893522	0.60012335	0.034432765	0.75197023	0.48955205	1.4816685	0.04284802	1.590453	1.3928491	1321.775545835495
17	3152.0266	86.514404	3259.3142	3026.1846	3328.3645	71.06086	3442.1252	3235.576	1000.0	1000.0	67999	218.95976	218.95976	-218.56718	11.475608	0.6007006	0.03283569	0.7618877	0.5033571	1.5175455	0.036220863	1.6124072	1.422973	1405.4642870426178
18	3309.9014	79.283775	3406.7017	3187.3362	3380.6458	69.225555	3508.8567	3300.594	1000.0	1000.0	71999	227.95995	227.95995	-227.58487	12.068282	0.61927444	0.035793073	0.8076331	0.5219304	1.473496	0.040277816	1.630279	1.3904048	1489.0625801086426
19	3311.4187	68.75636	3402.2708	3220.44	3534.6243	92.38781	3725.8044	3414.395	1000.0	1000.0	75999	236.59299	236.59283	-236.20378	12.532762	0.62796026	0.03604854	0.8037863	0.5022931	1.4690447	0.048120704	1.6043744	1.3383677	1574.9960231781006
20	3283.873	143.02336	3460.0137	3101.5154	3530.4875	75.38332	3622.0083	3378.9434	1000.0	1000.0	79999	244.5502	244.55013	-244.11844	12.757393	0.63341624	0.035741	0.7802435	0.52527356	1.497075	0.035269734	1.6075101	1.4256858	1660.1364924907684
21	3216.6072	87.11832	3295.1655	3069.622	3530.3801	110.87404	3697.8406	3316.1875	1000.0	1000.0	83999	251.59572	251.59572	-251.14284	13.310605	0.64063805	0.036009993	0.7819973	0.52907884	1.4982595	0.042362183	1.6220436	1.4138588	1744.4749484062195
