Epoch	AverageTestEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet0	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	alpha	Time
1	33265.14	346.93213	33790.164	32889.094	36126.438	51.269855	36189.695	36009.883	1000.0	1000.0	3999	10.365988	10.366012	-9.886105	0.20649402	0.34552646	1.2065586	70.50270938873291
2	34833.344	3035.1912	38680.723	31840.256	38275.78	28.539576	38314.84	38219.113	1000.0	1000.0	7999	31.414078	31.41409	-30.839386	0.61241657	0.3777657	1.2830838	160.8916211128235
3	48601.914	10510.7295	60445.957	35402.73	60623.54	5369.1826	68054.27	51074.043	1000.0	1000.0	11999	55.072376	55.07241	-54.439415	2.790426	0.55042076	1.5751913	247.29948043823242
4	59030.523	4316.7163	66110.96	54424.742	63690.3	6003.944	72237.71	52767.805	1000.0	1000.0	15999	83.1552	83.15511	-82.67651	7.5803638	0.7635074	1.4461861	334.2161123752594
5	61261.625	1980.1523	62885.445	58000.527	68210.32	5500.808	75136.9	57752.195	1000.0	1000.0	19999	112.7141	112.71465	-112.029015	12.416951	0.7986052	1.4345878	420.8987994194031
6	58628.664	4189.0923	62854.793	51660.312	66155.59	2781.2812	70352.984	60259.566	1000.0	1000.0	23999	139.3285	139.3285	-138.44638	21.130344	0.95759654	1.4954327	510.02788615226746
7	76169.914	5417.236	85149.41	70629.65	87874.96	17098.717	114545.2	66014.64	1000.0	1000.0	27999	174.55038	174.5503	-174.0212	36.24921	1.511035	1.544565	599.7050333023071
8	75322.11	6972.803	87054.414	69239.93	80254.79	6395.7344	93888.44	72490.555	1000.0	1000.0	31999	216.83408	216.83405	-216.06834	39.409634	1.7525264	1.3311884	689.1863875389099
9	83123.266	18951.094	115264.51	66269.72	89989.22	9034.403	106352.51	74371.625	1000.0	1000.0	35999	244.97786	244.97768	-244.03735	41.25624	1.7583286	1.1863039	779.2812788486481
10	91249.01	10815.422	104588.61	79854.28	80640.125	8107.0503	93521.58	66113.74	1000.0	1000.0	39999	269.30057	269.30057	-268.15466	47.51455	1.7640294	1.2765242	869.5985293388367
11	84596.625	12536.797	104650.52	70239.07	80322.516	10544.865	104841.766	69184.08	1000.0	1000.0	43999	290.5725	290.5734	-289.26477	46.588547	1.7558349	1.2173471	959.7376685142517
