Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-378.9663	58.1642	-291.01105	-453.11243	890.3504	11.707625	911.37506	873.8523	1000.0	1000.0	3999	1.8695098	3.6917808	28.69705	-22.434471	1.8696752	3.6921027	28.635252	-20.742352	-2.680041	0.7019264	0.2659814	0.07969042	0.59389055	0.2112842	0.008638833	0.013560561	0.048216708	1.7296605e-07	2.6192272	1.0898734	4.3902187	2.2152004e-07	84.62501454353333
2	-359.33105	26.531765	-314.97232	-384.30795	-50.385803	385.8243	410.08685	-856.13916	1000.0	1000.0	7999	17.205648	7.771365	73.02024	-20.402168	17.205513	7.772346	73.27459	-19.39123	-18.689505	1.3142087	1.1966002	0.27615044	1.7504693	0.53402567	0.045466315	0.012447908	0.091704	0.0053842557	3.8850815	0.18101329	4.4913096	3.309707	199.69006323814392
3	-491.26752	709.6954	320.13232	-1632.3055	337.33017	80.259026	450.67783	193.3513	1000.0	1000.0	11999	34.358635	9.588407	94.701836	5.1133366	34.358273	9.589742	94.77626	5.485805	-35.66866	2.142625	1.6796154	0.11780702	2.073807	1.3835373	0.06764734	0.019945828	0.16237925	0.009527302	3.6141973	0.2253002	4.42373	2.915791	313.84323167800903
4	410.083	33.636314	442.3221	356.42004	432.7731	109.35916	537.5149	128.54335	1000.0	1000.0	15999	43.444714	10.730295	96.69049	16.88488	43.44481	10.730471	97.771835	17.596361	-44.24846	2.408881	1.7628591	0.10596024	2.1048362	1.3380558	0.07848329	0.02204753	0.18499097	0.010813132	2.894385	0.1790869	3.5324328	2.3542166	419.97247409820557
5	483.48593	42.089245	555.98816	454.91913	487.1896	119.75366	578.1128	146.30545	1000.0	1000.0	19999	45.601864	11.866577	106.533615	10.323221	45.601944	11.867273	105.53667	9.227369	-46.16281	2.556856	1.7172109	0.11188991	2.1660955	1.3253458	0.07708526	0.021860223	0.19544162	0.011360698	2.6080422	0.12816687	3.2783968	2.066823	526.2300434112549
6	500.09644	134.60706	640.9751	283.26755	485.3217	125.20507	625.89105	182.79105	1000.0	1000.0	23999	47.042755	12.157456	110.789925	10.938898	47.04268	12.157601	111.33194	6.411978	-47.498814	2.6796944	1.6308098	0.10717484	2.0126448	1.254422	0.07391222	0.020456422	0.15936705	0.011064295	2.5197153	0.12041417	2.970152	2.142207	632.4235472679138
7	534.3698	58.090862	604.7129	451.68088	410.1194	204.0176	619.20575	48.872448	1000.0	1000.0	27999	48.75104	12.01219	104.97188	7.3532004	48.751144	12.012445	106.697556	5.596232	-49.168953	2.7750483	1.5790936	0.10209851	1.9663205	1.2476199	0.07232129	0.020108582	0.13187334	0.010583398	2.5356061	0.12374844	3.023621	2.139838	742.1809163093567
8	587.619	72.55565	679.30054	515.89197	600.88367	41.439026	646.0309	497.68942	1000.0	1000.0	31999	50.392956	11.117857	102.385	5.3162	50.39306	11.117833	105.71887	2.4321477	-50.744907	2.6419957	1.5471526	0.10131022	1.9261118	1.1357787	0.06975145	0.018978892	0.12542225	0.010104407	2.4546201	0.12482513	2.9694464	2.0596726	859.3549201488495
9	489.60797	105.03344	653.64154	363.6433	493.1337	184.09897	671.5847	141.65417	1000.0	1000.0	35999	51.93853	9.628131	103.13925	12.117947	51.93891	9.627913	107.1836	14.386471	-52.242336	2.5851212	1.515315	0.09911124	1.843306	1.1863742	0.067720294	0.018304685	0.14177057	0.01011965	2.3776736	0.114204355	2.9094024	2.018482	971.3763265609741
10	625.78046	49.672493	683.8759	548.06165	643.77185	81.99484	761.2328	497.52383	1000.0	1000.0	39999	52.980324	8.760496	96.11695	14.470727	52.98037	8.761301	97.46774	15.164227	-53.249874	2.504855	1.4727457	0.09668551	1.8103129	1.129467	0.06563335	0.017672827	0.14877939	0.0098293135	2.3461401	0.115923606	2.907837	1.9385018	1077.8916792869568
11	608.23694	133.46907	760.43036	403.55014	603.3351	82.3288	701.1716	417.6056	1000.0	1000.0	43999	54.04231	7.948146	97.023575	12.989331	54.042446	7.948192	101.75587	9.1486	-54.279636	2.478519	1.449004	0.09796597	1.7584668	1.1008344	0.064316206	0.016911956	0.119331315	0.009751453	2.3368242	0.11952698	2.756656	1.9811358	1194.2052540779114
12	656.3653	37.38742	708.9716	609.7363	661.745	27.31148	696.29407	595.2755	1000.0	1000.0	47999	55.029755	6.8408318	93.36562	16.275734	55.02975	6.8409076	92.87962	14.325824	-55.240837	2.3989313	1.4392481	0.09257381	1.7463788	1.1097478	0.06357644	0.016756263	0.12441419	0.009544492	2.2986667	0.11691432	2.7300024	1.9023367	1311.319188117981
13	679.8839	89.9588	745.20715	525.22974	665.93933	73.440796	752.3137	489.36194	1000.0	1000.0	51999	56.07338	5.951549	95.69224	17.592201	56.073425	5.9506574	96.67465	15.443669	-56.2559	2.2216363	1.4219218	0.09498971	1.7921023	1.1100924	0.06271847	0.01634466	0.10806739	0.009764242	2.2434487	0.11402389	2.8348176	1.8538237	1425.0108349323273
14	687.7677	36.96715	737.7503	635.8906	597.77893	123.529106	740.88403	335.54346	1000.0	1000.0	55999	57.02554	5.1928797	95.658295	19.781555	57.02572	5.1910334	96.128365	16.801477	-57.19121	2.1482236	1.3980167	0.09771102	1.7559639	1.0181677	0.060973596	0.015851783	0.106051005	0.009301806	2.209109	0.11410279	2.6286883	1.7852846	1536.763411283493
15	682.5095	78.13164	760.4255	556.7407	663.17444	106.69927	781.6687	485.85684	1000.0	1000.0	59999	57.98265	4.9348044	95.62913	20.06156	57.98276	4.932471	95.64987	17.299774	-58.134766	2.0986526	1.3508406	0.09111351	1.666119	1.0155003	0.05845554	0.015056907	0.10287974	0.008960327	2.1833823	0.115989126	2.6184268	1.7820343	1655.5725264549255
