Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-364.06662	7.1811156	-356.61917	-375.0057	995.52765	3.7220647	1003.0427	989.4508	1000.0	1000.0	3999	2.131026	3.687344	29.18454	-24.117128	2.1314602	3.6867042	29.357506	-24.7605	-2.6935606	0.6475149	0.23266427	0.0064997124	0.2588167	0.21161458	0.0020123015	0.0017545357	0.006394524	1.7825099e-07	2.641772	0.94841194	3.8187106	2.3073459e-07	85.21338367462158
2	-372.49966	58.656654	-284.66342	-427.7402	990.5329	2.7509246	994.5524	986.3801	1000.0	1000.0	7999	10.284914	5.754119	50.438263	-34.019924	10.284717	5.7546234	47.185516	-33.23331	-10.856708	1.2629399	0.2580281	0.011049397	0.29338756	0.22853649	0.006354262	0.0014419535	0.022093192	0.0014395264	3.2345521	0.15558098	3.836543	2.7388592	185.50054693222046
3	306.78717	684.2769	994.01044	-409.49146	991.8125	2.6739976	996.88434	987.87225	1000.0	1000.0	11999	16.795815	6.622573	56.308563	-42.27024	16.79582	6.6245303	55.926064	-37.386814	-17.27552	1.7203481	0.27597106	0.010735489	0.32590863	0.24272932	0.008572012	0.0019926552	0.02003734	0.0021944293	3.3364024	0.1758548	4.0608706	2.8268547	281.18259930610657
4	987.77844	5.2486963	996.2495	981.8989	983.959	3.1133335	989.17865	979.5177	1000.0	1000.0	15999	23.80427	7.5394273	64.082634	-50.61169	23.804178	7.540405	64.78111	-44.484184	-24.01149	1.1301377	0.30665326	0.015289993	0.35823876	0.26474032	0.010955468	0.0022070634	0.017016413	0.0027420537	3.197238	0.15863365	3.8978636	2.7218895	384.17278933525085
5	983.8839	15.076987	1008.7189	968.8683	967.48505	3.0344608	971.64417	961.8416	1000.0	1000.0	19999	30.900785	9.832122	67.95424	-25.753828	30.900848	9.832721	68.21955	-25.060898	-30.91866	0.9885264	0.34209856	0.017939787	0.40876752	0.29093942	0.01084013	0.0021773404	0.016231343	0.0028645406	3.15441	0.1398767	3.6772907	2.7196596	502.25329542160034
6	985.1853	9.349398	999.4071	975.3953	985.4752	2.8738983	989.3149	980.6402	1000.0	1000.0	23999	37.953976	12.797557	72.62929	-12.828404	37.95392	12.798295	73.4712	-12.302016	-37.8586	0.918149	0.3499655	0.018146032	0.420597	0.2970444	0.010685749	0.0021496732	0.022234537	0.0025487659	2.8202767	0.20372602	3.49847	2.200606	604.3880455493927
7	992.60547	5.2888517	1001.7616	989.4176	994.93524	4.3898754	1004.655	989.6833	1000.0	1000.0	27999	43.714474	15.333818	80.34715	-14.009896	43.714325	15.334229	81.24012	-17.643223	-43.542732	0.87282914	0.316413	0.011954729	0.36895972	0.27981284	0.00987143	0.0020267384	0.016127659	0.0024843726	2.6030428	0.16146313	3.2395425	1.9942944	715.1438126564026
8	1035.0967	12.233965	1052.2821	1018.8694	1008.0238	5.379079	1018.06274	999.11975	1000.0	1000.0	31999	48.817104	17.745754	85.05711	-12.220841	48.817116	17.74578	84.66447	-10.537762	-48.631447	0.8154231	0.3047546	0.010819963	0.34870118	0.27187315	0.009546762	0.0019598515	0.014448893	0.0021075779	2.53846	0.15665412	3.1480052	1.9649127	833.8667242527008
9	997.97	7.971462	1009.82385	989.0139	1030.9598	36.20842	1099.8169	979.9144	1000.0	1000.0	35999	53.73019	20.05943	87.00075	-14.223672	53.730335	20.059202	87.113625	-13.672794	-53.53103	0.8206642	0.31140167	0.011010487	0.35617498	0.2784856	0.009514538	0.0019817536	0.0149559155	0.00219216	2.6810486	0.17875345	3.6009526	2.1773589	944.0928778648376
10	1044.5792	33.745007	1081.3104	993.2976	1054.7734	18.940811	1080.838	1022.6543	1000.0	1000.0	39999	58.533226	22.089647	89.681366	-15.981053	58.53334	22.08957	89.99469	-12.27951	-58.312763	0.7538021	0.3201426	0.010760698	0.3790302	0.28554896	0.009433549	0.0020107103	0.020782258	0.0022498178	2.6558406	0.18625145	3.4533124	2.0205595	1065.6635315418243
11	1056.8988	12.883974	1077.3551	1045.4359	1024.2909	39.430725	1099.9841	994.343	1000.0	1000.0	43999	62.65886	23.652912	94.36352	-10.718071	62.658985	23.652641	94.97791	-12.156189	-62.4129	0.76998436	0.30730128	0.010334019	0.3834149	0.2763508	0.008947676	0.0018578254	0.016718293	0.0020350257	2.5482225	0.17333056	3.2240365	1.9132736	1173.52077126503
12	993.4814	6.5170927	1002.07355	987.06683	1001.12714	8.566196	1018.9143	991.5776	1000.0	1000.0	47999	66.24663	24.82788	98.38932	-18.321075	66.24677	24.827732	97.27354	-17.326103	-65.98496	0.7753613	0.30510667	0.011036571	0.35378867	0.27303612	0.009083846	0.0019036933	0.01918355	0.0021223298	2.5102608	0.18700375	3.2507298	1.9102839	1295.2920348644257
