Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	54.88533	135.46877	192.15329	-93.771805	248.69748	1.280043	250.54793	246.40231	1000.0	1000.0	3999	0.6682945	4.9912567	47.058624	-24.88741	0.6682976	4.991632	48.089466	-24.853605	-0.6765603	0.37184066	0.22513604	0.2091065	1.1485485	0.11929212	0.014806532	0.030110158	0.14140262	4.8911893e-08	1.9101586	1.161455	4.655403	1.1682493e-07	95.20835614204407
2	-71.53987	21.467962	-41.8582	-101.92323	438.94498	119.218376	748.826	332.2865	1000.0	1000.0	7999	46.699284	45.442173	349.57874	-26.42761	46.69955	45.442238	355.3558	-26.552652	-51.408363	11.696169	1.9037436	0.24064669	2.222068	0.9882359	0.11880346	0.0710779	0.5283781	0.0063950894	10.123134	3.7207956	19.686825	3.5173492	217.8414225578308
3	152.55421	127.136116	242.23871	-64.967285	-7.010811	4.5625114	-0.8024827	-13.448283	1000.0	1000.0	11999	165.91399	75.09595	473.1009	-9.83785	165.91512	75.09392	465.034	-10.660914	-171.51369	25.13416	2.1359146	0.038276073	2.2459629	1.9903111	0.21630496	0.07912515	0.67185986	0.010578336	14.073041	1.3232515	20.153194	10.886465	339.8179247379303
4	28.939156	150.16685	279.18182	-111.099655	447.0751	41.671124	532.831	390.03683	1000.0	1000.0	15999	249.56702	77.81239	465.96042	56.735645	249.5674	77.81055	464.14197	53.775948	-252.99573	19.023418	2.0846715	0.06982896	2.2449203	1.8807247	0.20278278	0.0662647	0.581858	0.009616766	11.025431	1.1812993	14.578958	7.829082	464.1567063331604
5	237.44608	163.80511	406.21954	70.988304	-66.47731	10.711267	-47.127316	-83.50882	1000.0	1000.0	19999	277.68222	54.77235	436.1734	124.28195	277.68192	54.77107	434.82678	126.56565	-279.03214	13.23836	1.9347618	0.04705725	2.0805137	1.7564851	0.19516794	0.060447127	0.46451464	0.021752333	7.3288465	1.0800097	10.312219	5.109261	589.9621043205261
6	101.664856	79.93057	211.44981	-14.450341	117.75673	3.0691094	123.34437	113.68113	1000.0	1000.0	23999	277.02094	37.266216	493.2555	141.85213	277.02118	37.26507	480.56488	141.64326	-278.1333	9.966092	1.9780431	0.043099985	2.0991871	1.7698065	0.1764175	0.056295086	0.374421	0.015919533	6.006825	0.37349626	7.7157855	4.9256196	714.5065069198608
7	358.36172	130.57355	497.30322	199.4045	108.39707	191.60696	398.1479	-144.3927	1000.0	1000.0	27999	283.5	31.125483	467.99307	173.43416	283.4999	31.128021	458.47284	172.15898	-285.46713	13.296553	2.108425	0.057015132	2.2724607	1.9257083	0.16982843	0.058207273	0.4174213	0.011075737	7.077529	0.7003857	9.661989	5.2216907	839.7309596538544
8	224.02965	107.07201	346.7527	52.394787	294.51205	24.318083	335.18176	253.45757	1000.0	1000.0	31999	283.68558	31.347326	404.15308	123.67954	283.6851	31.349316	404.2696	122.58388	-284.31363	10.255345	1.9482306	0.113159604	2.199223	1.6766812	0.15134951	0.046612628	0.4088835	0.011372292	4.8497696	0.75421613	7.132694	3.1892724	962.4437816143036
9	458.0675	247.36864	872.2946	223.61237	408.47012	2.6274989	413.73422	404.83127	1000.0	1000.0	35999	259.44357	28.213634	370.46524	108.48601	259.44333	28.216013	371.20193	110.02664	-259.44586	6.277326	1.6963328	0.07193074	1.8919984	1.4728302	0.12809685	0.038283616	0.3330599	0.012840831	3.5132911	0.27021787	4.9264565	2.73996	1088.2380957603455
10	378.8576	25.766432	419.3623	349.77344	509.70624	8.789043	527.1601	498.69034	1000.0	1000.0	39999	234.92314	28.19465	350.5978	82.77696	234.92336	28.195492	349.88434	81.45542	-234.98647	6.50964	1.6688803	0.05551575	1.8407062	1.4855746	0.121151954	0.03781358	0.30536735	0.011874672	3.5315008	0.28002346	4.946663	2.6574516	1212.5817992687225
11	434.16522	80.17597	570.2953	369.37036	363.494	2.7294276	367.45993	358.3337	1000.0	1000.0	43999	217.75012	30.925014	346.6247	69.675415	217.74982	30.925526	347.1585	73.09785	-217.97089	6.867215	1.7433348	0.042644083	1.8844285	1.5757486	0.12822178	0.03692918	0.3052075	0.015519981	3.7640176	0.25586957	5.136385	3.0864136	1337.802323102951
