Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	32847.64	1181.4232	34660.69	31734.89	29908.473	19.909513	29940.213	29864.176	1000.0	1000.0	3999	9.984669	5.8329434	32.136593	-9.0072183e-07	9.98446	5.8329644	32.787003	-0.09818943	-9.57966	0.21784654	0.33673656	0.005756228	0.3550325	0.31650117	0.00045769225	0.00026356702	0.008677401	3.8976046e-07	1.4269463	0.79502213	2.7520812	2.1367806e-07	119.68689775466919
2	34732.637	2876.3794	38936.45	30973.416	31340.082	21.658464	31360.252	31289.277	1000.0	1000.0	7999	32.13415	8.408875	64.90635	9.493726	32.134205	8.408778	65.264084	9.4906225	-31.700373	0.5916908	0.33718804	0.005771632	0.35838646	0.31587684	0.0007012484	0.00016293173	0.0013518541	5.702816e-05	3.3573549	0.41034895	4.454469	2.4877467	288.1669099330902
3	34035.062	946.8116	35012.062	32663.887	35826.465	46.689358	35872.977	35723.715	1000.0	1000.0	11999	53.44753	9.369223	95.04619	26.935234	53.447426	9.369852	95.28119	26.955881	-52.98652	0.9280364	0.34406778	0.007818266	0.37458777	0.31892505	0.0015957834	0.0007584775	0.0056297975	0.00016038182	4.9327397	0.643549	7.2628646	3.6887746	458.38114643096924
4	52812.816	25902.695	97654.375	36579.523	90718.836	396.72745	91218.49	90084.234	1000.0	1000.0	15999	70.49847	11.9863615	121.67958	48.275936	70.49847	11.986366	121.873436	48.096367	-70.04513	1.2259634	0.4162592	0.046476804	0.53565496	0.3379527	0.004100513	0.0012571849	0.010450135	0.0004461973	7.7032514	0.86476076	10.125977	5.5858507	628.8888416290283
5	100122.09	3940.249	105605.984	95864.44	108760.33	6929.4316	122442.71	102793.56	1000.0	1000.0	19999	95.54743	24.15833	217.72153	58.344173	95.54754	24.15818	217.61671	58.679974	-95.97468	2.429421	1.1123508	0.770958	2.863971	0.4768586	0.035238296	0.050815787	0.37902948	0.001063083	11.767617	3.5140157	23.998112	7.3509774	799.0399560928345
6	101339.734	22174.924	123433.516	74655.64	81447.82	11833.356	108955.52	70625.99	1000.0	1000.0	23999	222.14662	99.42551	492.6861	43.672314	222.14703	99.42773	493.49503	44.93009	-227.49452	18.85721	3.507579	0.485571	4.487806	2.5951958	0.12520005	0.061348327	0.47232866	0.012874295	27.161734	3.1674979	35.70664	18.86149	967.401932477951
7	69264.71	16438.986	96891.54	53600.137	87531.39	21615.88	117758.77	64820.973	1000.0	1000.0	27999	355.41513	132.64075	653.11444	48.51145	355.41443	132.64397	654.6967	53.833885	-357.09808	33.891815	4.4722323	0.18830116	4.8311877	4.0600467	0.2630506	0.041955452	0.3925113	0.07614566	16.964031	1.4932668	24.539143	14.075681	1138.6503551006317
8	58972.406	16584.871	71573.31	30660.957	102020.234	15676.79	120991.19	68075.37	1000.0	1000.0	31999	432.6128	133.7715	707.2723	143.59398	432.61285	133.774	710.2592	144.23	-432.72394	42.108532	4.327041	0.09372223	4.673026	4.092843	0.2731067	0.041948494	0.4281756	0.09877895	14.582629	0.72014236	17.378565	12.484385	1310.5883584022522
9	85150.47	14235.388	107553.54	68681.7	87066.336	16308.056	117801.76	59063.742	1000.0	1000.0	35999	478.66425	131.87823	772.50604	158.94376	478.664	131.88058	772.3404	159.4222	-477.9377	40.688103	4.189169	0.0900105	4.4114375	3.811539	0.25881267	0.035360623	0.36570993	0.10124627	13.330743	0.8773212	16.243883	11.151796	1484.2520596981049
10	94476.75	16575.688	121709.45	77690.86	63838.977	946.7292	65702.766	62048.133	1000.0	1000.0	39999	499.8181	122.229805	777.4413	188.60677	499.8182	122.229675	778.0126	188.82875	-498.5656	40.613445	4.0956755	0.06877101	4.302425	3.816842	0.27493513	0.0356318	0.38610515	0.11420459	12.484942	0.44268838	14.180212	11.197632	1654.117734670639
