Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	121.34019	32.146057	234.35391	78.00076	291.9335	52.23692	406.97424	227.20082	24.826086	60.8	3999	26.197828	15.925707	83.66681	-6.971003	26.198269	15.924698	83.25969	-5.3679256	-26.383492	2.8266308	0.64920384	0.9042022	4.0718355	0.32048813	0.0635121	0.18486549	1.907443	3.8368682e-07	3.6616516	1.9817191	9.327033	2.0374527e-07	113.507399559021
2	122.39927	35.562256	269.52112	82.35555	175.26077	19.904665	206.20146	147.0793	25.018988	39.0	7999	171.71754	121.41322	579.49646	-77.10408	171.71982	121.41065	579.3036	-83.52905	-193.87608	54.354843	5.478005	0.3452696	5.74939	4.004927	0.3878251	0.08432101	0.7246419	0.13173734	40.65443	23.4262	99.46343	7.6650906	260.1599736213684
3	148.21187	58.00214	358.54773	83.17815	184.12643	5.1305404	192.6023	177.20648	31.107693	37.7	11999	739.97974	453.57245	1920.3389	-260.19968	739.9852	453.55673	1934.85	-284.11258	-827.6228	950.20795	5.717041	0.030412767	5.792051	5.6147323	0.7693584	0.42638406	2.9039512	0.098721005	185.51418	40.79185	279.3889	87.89992	410.40231704711914
4	213.94696	58.774292	398.82684	119.9924	275.12616	47.84579	354.46844	220.93945	46.435295	64.7	15999	1233.8966	777.525	2643.6118	-357.277	1233.9089	777.5131	2658.3574	-370.30344	-1333.4143	3130.513	5.6824765	0.019698111	5.7517524	5.60879	1.2936196	0.51242507	3.2671442	0.14708212	253.88693	19.416851	339.6192	186.84785	563.5899484157562
5	276.63373	66.91408	483.181	167.22853	290.94537	115.00673	599.5804	177.09741	60.621212	68.1	19999	1409.2185	987.61676	3286.5916	-553.2129	1409.2192	987.6454	3310.4746	-565.8537	-1502.4342	5188.61	5.6691146	0.018981379	5.7325525	5.592924	1.4130983	0.54648596	2.9673893	0.15227722	267.21863	27.421034	401.35632	181.93245	716.5032031536102
6	305.64334	104.882	631.4822	155.58315	275.85718	63.29152	372.24924	176.46408	64.854836	56.6	23999	1399.2736	1067.0067	3306.2957	-478.66772	1399.2523	1067.065	3320.485	-465.05362	-1481.123	6117.828	5.6643963	0.019445887	5.733061	5.5834274	1.4594722	0.5591502	2.997459	0.1445865	263.512	28.675072	386.53516	183.43028	869.8422050476074
7	307.2181	65.47726	468.42694	204.25946	331.9555	105.11932	483.13458	190.34935	68.534485	74.7	27999	1176.5325	982.2359	2978.2703	-209.25717	1176.5007	982.2833	3023.0305	-174.44592	-1238.9944	6169.73	5.661066	0.01891312	5.724548	5.5889826	1.4026628	0.5299975	2.804572	0.1603898	225.13457	24.336613	321.12512	155.91779	1023.045111656189
8	300.23837	73.81123	487.16885	165.19551	283.94168	147.4314	580.20605	128.47829	67.355934	62.6	31999	957.5655	847.71796	2830.5884	-201.26111	957.5383	847.7881	2887.3232	-193.39989	-1009.0477	5991.271	5.6559443	0.019732093	5.7222733	5.5597014	1.3676223	0.5235496	2.5040236	0.15990745	204.73503	21.098621	281.28098	143.12991	1175.707257270813
9	318.5625	95.89693	623.0149	178.02165	304.51218	59.613552	399.392	208.3613	69.68965	73.0	35999	795.1718	729.45526	2812.8225	-191.9988	795.1587	729.49304	2802.2817	-225.63594	-835.1639	4970.497	5.6502757	0.0200593	5.726558	5.5745463	1.285097	0.46516162	2.3581822	0.16146392	175.73013	20.844225	284.17273	115.20067	1330.556118965149
10	316.3537	100.391045	620.99	143.15036	303.2201	76.621284	464.062	161.45752	69.96491	62.5	39999	613.5789	561.1942	2372.1453	-136.45468	613.57776	561.2181	2331.2117	-119.284935	-643.7049	3348.428	5.6451283	0.020230744	5.72303	5.5625243	1.1595868	0.3900651	2.183558	0.16990224	137.70477	14.493572	192.32527	98.353065	1484.1859679222107
