Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	11.902799	58.74224	75.04659	-74.5929	11.702158	2.2109795	14.987596	7.3980064	1000.0	1000.0	3999	10.454618	14.693358	93.73122	-16.568363	10.454284	14.693845	94.31367	-16.367483	-12.516943	1.4948775	1.7855254	1.0640858	2.9820323	0.1801857	0.15900394	0.10777531	0.6552281	1.2897263e-07	3.7292926	1.7669084	6.5264316	1.6970672e-07	82.60098838806152
2	73.13368	72.017105	151.74359	0.21067706	23.503122	451.32104	1259.8694	-435.68787	1000.0	1000.0	7999	51.51335	27.069185	177.47148	-7.6001263	51.512836	27.070393	179.82713	-7.086956	-54.31171	5.894915	3.0597389	0.07115679	3.221468	2.8320992	0.21133167	0.05871764	0.5747103	0.0374732	5.5774617	1.2802916	9.40879	3.6367998	188.35805892944336
3	-10.631847	69.6176	56.69802	-111.746544	-203.95331	255.5396	154.2467	-597.1937	1000.0	1000.0	11999	113.86039	34.886276	265.74606	10.659056	113.86019	34.887142	269.3806	12.306235	-117.283394	12.341769	3.1935463	0.057902705	3.3427448	3.0119233	0.23041305	0.06601669	0.49164164	0.032597575	7.157138	0.6419449	9.498044	5.239132	294.2706184387207
4	74.49375	23.720827	101.85886	40.41256	-11.858835	172.5337	287.09305	-259.66663	1000.0	1000.0	15999	154.63666	27.428701	290.76486	57.79318	154.63628	27.430973	286.20764	57.568027	-157.08647	9.581997	3.1402524	0.04673653	3.2795813	2.9676447	0.23080687	0.062225364	0.5391803	0.03247323	6.021124	0.38980368	7.9564652	4.8571763	398.74242210388184
5	170.38594	190.09125	449.56918	-6.2145205	232.27548	413.69882	1034.7216	-324.51773	1000.0	1000.0	19999	179.04066	29.161854	288.5123	103.18067	179.04063	29.161463	284.8069	103.742714	-181.68866	9.777902	3.1269283	0.04424454	3.2650535	2.9886582	0.22657053	0.05826717	0.43391412	0.025717031	5.924039	0.35403565	7.4563446	4.9207344	505.17940855026245
6	76.54376	146.99158	253.8277	-154.79684	89.61125	200.09352	403.16187	-292.05106	1000.0	1000.0	23999	192.3246	25.795736	289.78018	126.713394	192.32475	25.796707	289.14844	124.53596	-193.69121	7.418253	3.0531154	0.068799265	3.245417	2.8590395	0.21708746	0.05335411	0.41104215	0.030765835	4.953032	0.43494254	6.460229	3.8796837	611.8335196971893
7	279.9054	284.7237	757.181	26.247444	47.03462	129.97868	263.1384	-108.668686	1000.0	1000.0	27999	187.65414	31.648392	293.93506	110.997955	187.65434	31.647934	292.86777	110.330345	-188.95879	6.9404254	3.005236	0.039269537	3.1291463	2.8449235	0.2025438	0.049586635	0.4065392	0.025219413	4.4129367	0.2022831	5.3211265	3.7583272	719.2628803253174
8	108.21288	107.304245	224.40836	-47.82715	211.44687	111.442024	469.1239	80.128716	1000.0	1000.0	31999	184.19495	33.226368	291.70007	106.291	184.19511	33.226837	290.71725	107.20539	-185.46202	7.3827987	2.9913688	0.038888108	3.1278687	2.8019722	0.1914766	0.048391096	0.34202367	0.021625748	4.581343	0.23263907	5.4068747	3.721156	826.1331176757812
9	485.4186	225.32184	826.5379	194.36606	939.8856	178.28082	1001.35583	405.05566	1000.0	1000.0	35999	182.5969	30.867903	297.58054	107.88598	182.5969	30.869276	296.66165	107.94291	-183.88098	7.453164	2.98845	0.042799503	3.1212661	2.860095	0.19078606	0.048718177	0.38808748	0.023647008	4.7881875	0.27031234	5.74083	3.8912878	933.4645309448242
10	200.21025	330.9106	756.71094	-59.820366	264.48917	194.05887	762.6422	25.923315	1000.0	1000.0	39999	180.49731	27.382763	320.3668	105.876305	180.49738	27.384653	322.08472	107.37911	-181.60973	8.633132	2.9937398	0.041770663	3.1282418	2.848699	0.19912279	0.051705398	0.34913573	0.022372361	4.9266276	0.26939094	6.067456	4.0842085	1039.5344710350037
