Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-151.5843	145.01364	21.15086	-377.47006	-145.765	80.8673	-31.542706	-355.956	1000.0	1000.0	3999	8.533354	14.592257	105.965485	-26.648373	8.533071	14.592705	108.2332	-27.714901	-9.588854	3.1992087	1.2372854	0.98556846	2.7162058	0.1801943	0.10903914	0.10867468	0.53273296	1.3227937e-07	4.9576817	2.6509395	9.2494	1.6577519e-07	94.7975013256073
2	-134.62726	93.982185	-16.958237	-278.7001	-141.37697	13.529382	-118.89595	-158.24788	1000.0	1000.0	7999	111.72512	59.121563	318.6114	-11.103644	111.72458	59.123104	322.07864	-10.0393	-117.76632	20.291311	3.0397859	0.14067024	3.2533476	2.4878442	0.2807874	0.072778314	0.63922447	0.048440848	12.246304	1.8015957	16.23189	7.0607605	217.199054479599
3	-34.132713	258.80582	364.74222	-337.77368	136.27632	202.59718	559.0381	-124.56442	1000.0	1000.0	11999	240.11546	49.38253	522.7076	95.58929	240.11426	49.38441	522.86365	95.35186	-242.98279	27.471386	3.0063868	0.09906298	3.2034295	2.7255743	0.34355965	0.09470234	0.7321979	0.053060863	11.078828	1.0315775	14.668647	8.657274	340.87519097328186
4	-260.77783	373.65134	136.37384	-874.8709	-144.61652	322.93375	229.83968	-884.9797	1000.0	1000.0	15999	292.59213	42.55883	487.19513	143.8603	292.59207	42.560795	488.5303	153.21696	-293.5893	26.976784	2.6976924	0.061462566	2.9430137	2.4761682	0.39383072	0.10214476	0.82296693	0.045314237	9.523104	0.61349505	11.773649	7.563153	465.88770365715027
5	182.8411	195.68811	472.97946	-18.31539	105.37384	148.10587	456.7834	-43.74445	1000.0	1000.0	19999	303.95975	36.985397	478.61285	139.70302	303.95935	36.987366	479.38016	146.02257	-303.87622	22.095137	2.453933	0.0808616	2.7173383	2.1888354	0.35022923	0.098047994	0.6694584	0.030889096	7.9236856	0.4261367	9.733777	6.4906754	590.8154945373535
6	-42.294434	232.99956	229.34555	-378.24948	129.68365	183.73418	577.08344	-85.52516	1000.0	1000.0	23999	298.00183	31.572191	464.6461	157.2968	298.00208	31.571785	463.09473	155.42282	-297.53506	19.906157	2.440105	0.060811576	2.6345856	2.239357	0.33784145	0.09403525	0.7745546	0.0260828	7.3310466	0.45666555	8.954571	5.910654	714.4961578845978
7	6.4242706	218.24995	223.48364	-289.0508	55.54953	207.0294	370.0364	-395.59528	1000.0	1000.0	27999	282.98776	27.331266	429.91357	149.03094	282.98752	27.3281	429.35294	145.18973	-282.1772	16.687145	2.352418	0.054674912	2.5507545	2.157347	0.32392704	0.08925556	0.66165096	0.027790776	6.567836	0.31039077	7.800973	5.5763535	840.0606071949005
8	169.96922	112.93028	365.0615	92.16375	112.01294	42.99319	224.3231	76.60269	1000.0	1000.0	31999	268.39816	26.13615	403.14893	143.32074	268.3986	26.138268	402.4149	141.40768	-267.633	15.703229	2.3187094	0.0514238	2.5348794	2.150277	0.31392372	0.08220382	0.67628884	0.043611232	6.0242968	0.2763854	7.162241	4.995536	963.9441819190979
9	169.49806	84.36652	314.87192	109.31856	211.74841	186.72208	556.66656	-188.49557	1000.0	1000.0	35999	254.07092	26.827562	398.74774	134.717	254.0711	26.82666	398.9001	136.38234	-253.21599	15.78939	2.038059	0.12598081	2.3650835	1.7604207	0.37457734	0.07129918	0.6544938	0.12559748	5.6544847	0.3235243	7.0114493	4.5339003	1088.694911956787
10	280.98206	185.02225	594.6801	142.12608	323.73282	38.22409	404.2548	262.99832	1000.0	1000.0	39999	235.08891	26.0398	381.90134	116.88629	235.08926	26.036697	377.77426	118.46772	-234.00346	15.812333	1.8914152	0.10424793	2.137801	1.5599791	0.38156244	0.06951968	0.6455573	0.16477665	5.349056	0.2915558	6.6563287	4.3619156	1214.364411354065
